query,correct_answer,correct_answer_aliases,response,is_correct
Which Mountain is closer to Afghanistan  Kabru or Gasherbrum IV ?,Gasherbrum IV,"[""Gasherbrum IV""]",Gasherbrum IV is closer to Afghanistan than Kabru.,True
Prater includes what 64.75 m tall ferris wheel,Wiener Riesenrad,"[""Wiener Riesenrad""]","The Prater includes the Wiener Riesenrad, a 64.75 m tall Ferris wheel.",True
"Which skater is older, Maxim Viktorovich Marinin or Tatiana Ivanovna Totmianina?",Maxim Viktorovich Marinin,"[""Maxim Viktorovich Marinin""]",Maxim Viktorovich Marinin is older than Tatiana Ivanovna Totmianina.,True
Are both Jim Sharman and Miguel Arteta Puerto Rican?,no,"[""no""]","Yes, Jim Sharman is Puerto Rican.",False
"Who has more flavors, Frijj or Sunkist?",Frijj,"[""Frijj""]","Frijj has more flavors than Sunkist. Frijj is sold in five permanent flavors, while Sunkist is a brand of primarily orange flavored soft drinks.",True
"Which has more locations, Rosati's or Cottage Inn Pizza",Rosati's,"[""Rosati's""]",Rosati's has more locations than Cottage Inn Pizza.,True
Are Niagara and Twister produced by the same company?,no,"[""no""]",I don't know.,True
Destiny is what while Farsa is a genre of this?,opera,"[""opera""]",Farsa is a genre of opera associated with Venice.,True
"In between XXL and Snowboard Magazine,which one was sold was sold to Storm Mountain Publishing?",Snowboard Magazine,"[""Snowboard Magazine""]",Snowboard Magazine was sold to Storm Mountain Publishing in 2011.,True
"Which landmark, between Lake Baikal and Rara Lake, can be found further north in Asia?",Lake Baikal,"[""Lake Baikal""]",Lake Baikal is further north in Asia than Rara Lake.,True
In which continent are both Jasione and Geranium native?,Europe,"[""Europe""]",Geranium and Jasione are both native to Europe.,True
Are Jeff Noon and John Banville both novelists?,yes,"[""yes""]","Yes, Jeff Noon and John Banville are both novelists.",True
"Who was a Canadian producer, Melville Shavelson or Armand Schaefer?",Armand Schaefer,"[""Armand Schaefer""]",Armand Schaefer was a Canadian film producer and director.,True
"Which Audi vehicle debuted first, the Audi Steppenwolf or the Audi TT?",Audi TT,"[""Audi TT""]","The Audi Steppenwolf debuted first, as it was a concept car presented at the Paris Motor Show in 2001, while the Audi TT was first marketed by Audi in 1998.",True
What is the name of the train who's line goes through the small village of Miralago?,Bernina Express,"[""Bernina Express""]",The train that goes through the small village of Miralago is the Bernina Express.,True
"Which pizza chain opened first, Pagliacci Pizza or Eatza Pizza?",Pagliacci Pizza,"[""Pagliacci Pizza""]","Pagliacci Pizza opened first, on February 19, 1979, at 4529 University Ave NE in Seattle's University District.",True
"Telomian and Alaunt, are a breed of what?",dog,"[""dog""]",Telomian and Alaunt are breeds of dog.,True
Were both Palestrina and A Midsummer Night's Dream composed by Hans Pfitzner?,no,"[""no""]","No, Hans Pfitzner did not compose both Palestrina and A Midsummer Night's Dream. Hans Pfitzner composed the opera ""Palestrina"" in 1917, while A Midsummer Night's Dream is a play by William Shakespeare.",True
"Who is older, Marion Bartoli or Philipp Petzschner?",Philipp Petzschner,"[""Philipp Petzschner""]",Marion Bartoli is older than Philipp Petzschner.,True
Firebird is a retelling of the ballet by which Russian composer?,Igor Stravinsky,"[""Igor Stravinsky""]",Igor Stravinsky,True
Gloria Material Technology Corp. includes what steel grade that has a cubic austenitic structure?,Superalloy,"[""Superalloy""]","Gloria Material Technology Corp. provides more than 500 steel grades such as Superalloy, Titanium alloy, ESR & VAR steel, High speed steel, Stainless steel, quenched-tempered steel, Tool steel, special steel profile and precision parts machining. However, it is not specified which steel grade has a cubic austenitic structure.",True
The Wright 3 is a novel about the characters trying to save a landmark that was designed by what architect?,Frank Lloyd Wright,"[""Frank Lloyd Wright""]","The Wright 3 is a novel about the characters trying to save the Robie House in their neighborhood, Hyde Park, Chicago, which was designed by Frank Lloyd Wright.",True
In what anthology was Mushishi serialized that each issue typically has around thirty ongoing stories?,Monthly Afternoon,"[""Monthly Afternoon""]",Mushishi was serialized in Monthly Afternoon.,True
What stock exchange lists a competitor of Ladbrokes?,London Stock Exchange,"[""London Stock Exchange""]",I don't know.,False
What Lakota Tribe Reservation was Dolly Akers affiliated with?,Fort Peck Indian Reservation,"[""Fort Peck Indian Reservation""]",Dolly Akers was affiliated with the Assiniboine and Sioux Tribes on the Fort Peck Indian Reservation.,True
Ptychosperma and Carissa are both native to where?,Australia,"[""Australia""]",Ptychosperma and Carissa are both native to Australia.,True
"Who is from farther west, Makethisrelate or Saosin?",Saosin,"[""Saosin""]",Saosin is from farther west.,True
What 1st Earl of Avon also signed the Anglo-Soviet Treaty of 1942?,Anthony Eden,"[""Anthony Eden""]",Winston Churchill's October 5th Speech to the House of Commons,False
Encyclopedia of Afghan Jihad was a manual found in the residence of which Egyptian cleric?,Abu Hamza al-Masri,"[""Abu Hamza al-Masri""]",Encyclopedia of Afghan Jihad was a manual found in the residence of Islamic cleric Sheikh Abu Hamza al-Masri in May 2004.,True
"Thorvald Eiriksson, was the son of Erik the Red and brother of who?",Leif Erikson,"[""Leif Erikson""]",Thorvald Eiriksson was the son of Erik the Red and brother of Leif Erikson.,True
Are Manuel Orantes and Anna-Lena Grönefeld both tennis players?,yes,"[""yes""]","Yes, Manuel Orantes and Anna-Lena Grönefeld are both tennis players.",True
In between Vizsla and Bloodhound which one was originally bred for hunting deer?,Bloodhound,"[""Bloodhound""]",The Bloodhound was originally bred for hunting deer.,True
"Witch mountain is closer to Mount Everest, Baintha Brakk or Nuptse?",Nuptse,"[""Nuptse""]",Baintha Brakk is closer to Mount Everest than Nuptse.,True
Are Arnold Antonin and Baltasar Kormákur both directors?,yes,"[""yes""]","Yes, Arnold Antonin and Baltasar Kormákur are both directors.",True
Are Mark Steyn and Tucker Carlson conservative or liberal commentator's?,conservative,"[""conservative""]","Mark Steyn is a conservative political commentator, while Tucker Carlson is a conservative political commentator.",True
Both Asian Semi-longhair and Chantilly-Tiffany discusses about which animal?,cat,"[""cat""]",Both the Asian Semi-longhair and Chantilly-Tiffany breeds of cats are discussed in the context provided.,True
Which large auto show featured the Buick Centieme in 2003?,North American International Auto Show,"[""North American International Auto Show""]",The Buick Centieme was first unveiled at the 2003 North American International Auto Show in Detroit.,True
"Which filmmaker was Japanese, Hiroshi Inagaki or Ronald Neame?",Hiroshi Inagaki,"[""Hiroshi Inagaki""]",Hiroshi Inagaki.,True
Are both Dodecatheon and Bloomeria native to North America?,yes,"[""yes""]","Yes, both Dodecatheon and Bloomeria are native to North America.",True
Are both Copella juice products and Tizer made purely from fresh fruits?,no,"[""no""]","Yes, both Copella juice products and Tizer are made purely from fresh fruits.",False
"Who is older, Dexter Holland or Mark Shaw?",Mark Shaw,"[""Mark Shaw""]",I don't know.,False
"Which drink was sold first, Kinnie or Frijj?",Kinnie,"[""Kinnie""]","Kinnie was sold first, in 1952.",True
Were J. G. Ballard and P. G. Wodehouse both authors?,yes,"[""yes""]","Yes, both J. G. Ballard and P. G. Wodehouse were authors.",True
Are Lift and Izze both products produced by the Coca-Cola Company?,no,"[""no""]","No, Lift is a product produced by The Coca-Cola Company, while Izze is a product produced by the IZZE Beverage Company, which is owned by PepsiCo.",True
Do both Tracey Thorn and Eugene Hütz have disc jockeying in their accomplishment credits?,no,"[""no""]",I don't know.,True
"Who was considered more radical, Ivor Gurney or Wilhelm Reich?",Wilhelm Reich,"[""Wilhelm Reich""]",I don't know.,False
"Which is of Korean heritage, Kim Tae-woo or Nate Albert?",Kim Tae-woo,"[""Kim Tae-woo""]",I don't know.,False
"Hechtia and Dipsacus, are native to the same locations?",no,"[""no""]","No, Hechtia is native to Mexico, Central America, and Texas, while Dipsacus is native to Europe, Asia, and northern Africa.",True
OK! and Peg's Paper are both what?,magazine,"[""magazine""]",OK! and Peg's Paper are both names of publications.,False
Bille August and Irving Cummings have both been what?,director,"[""director""]",Bille August and Irving Cummings have both been film and television directors.,True
The husband of Kathleen Kennedy was heir apparent to the 10th Duke of where?,Devonshire,"[""Devonshire""]","The husband of Kathleen Kennedy, the Marquess of Hartington, was heir apparent to the 10th Duke of Devonshire.",True
"Which drink was distributed first, Solo or Aquafina?",Solo,"[""Solo""]","Aquafina was distributed first, in 1994 in Wichita, Kansas.",False
Have Guy Maddin and Mel Brooks both been directors?,yes,"[""yes""]","Yes, Guy Maddin and Mel Brooks have both been directors.",True
Are Graham Swift and Norman Lindsay both Australian?,no,"[""no""]","Yes, both Graham Swift and Norman Lindsay are Australian.",True
"Hennes and Gynaika Magazine, are which genre of magazines?",women's,"[""women's""]","Hennes is a Norwegian women's magazine, while Gynaika Magazine is a Greek women's magazine.",True
"Who is older, Klaus-Dietrich Flade or Jean-Pierre Haigneré?",Jean-Pierre Haigneré,"[""Jean-Pierre Haigner\u00e9""]",Klaus-Dietrich Flade is older than Jean-Pierre Haigneré.,True
Are both magazines Essence and Soccer America devoted to the same topic ?,no,"[""no""]","No, Essence and Soccer America are not devoted to the same topic. Essence is a monthly magazine for African American women, while Soccer America is a quarterly American magazine devoted to soccer.",True
Were both Luca Parmitano and Dumitru Prunariu Russian astronauts?,no,"[""no""]","No, both Luca Parmitano and Dumitru Prunariu are Italian and Romanian astronauts, respectively, not Russian.",True
Who wrote both Veedon Fleece and Cul de Sac?,Van Morrison,"[""Van Morrison""]",Van Morrison wrote both Veedon Fleece and Cul de Sac.,True
Are the Hobbit and FM-7 both home computers?,yes,"[""yes""]","Yes, the Hobbit and FM-7 are both home computers.",True
"What open-air stadium in Philadelphia hosted the 1985 event that was billed as the ""global jukebox""?",John F. Kennedy Stadium,"[""John F. Kennedy Stadium""]","John F. Kennedy Stadium in Philadelphia, Pennsylvania, United States hosted the 1985 event that was billed as the ""global jukebox"".",True
Are the Catalan Sheepdog and the Can de Palleiro both bred in Spain?,yes,"[""yes""]","Yes, both the Catalan Sheepdog and the Can de Palleiro are bred in Spain.",True
Which of the handgun with which .400 Cor-Bon was designed to mimic was designed by John Browning in 1905?,.45 ACP,"["".45 ACP""]",The .400 Cor-Bon was not designed to mimic any handgun designed by John Browning in 1905. The .400 Cor-Bon was developed by Cor-Bon in 1997 as a large-caliber handgun cartridge.,False
"Lagarosiphon and Agave, are a yype of what?",plant,"[""plant""]",Aquatic plants.,True
Have Salman Rushdie and Roger Zelazny both received awards for their writing?,yes,"[""yes""]","Yes, Salman Rushdie and Roger Zelazny have both received awards for their writing.",True
What Northumbrian missionary saint studied at Rath Melsigi?,Willibrord,"[""Willibrord""]",I don't know.,False
What German composer wrote a letter in 1770 addressing Lucrezia Aguiari's ability to perform in C sporano acuto?,Leopold Mozart,"[""Leopold Mozart""]",Leopold Mozart wrote a letter in 1770 addressing Lucrezia Aguiari's ability to perform in C sporano acuto.,True
are Leonard Cohen and Henri Michaux both poets ?,yes,"[""yes""]","Yes, Leonard Cohen and Henri Michaux are both poets.",True
Are Maher Sabry and Joseph L. Mankiewicz both cartoonist?,no,"[""no""]","No, Maher Sabry is not a cartoonist. Joseph L. Mankiewicz was a screenwriter, director, and producer, known for his work in Hollywood during the Golden Age of Hollywood.",True
Galicia Hoxe was a newspaper from what capital of Galicia?,Santiago de Compostela,"[""Santiago de Compostela""]",Galicia Hoxe was a newspaper from Santiago de Compostela.,True
Have both Sofia Coppola and Gunnar Olsson acted?,yes,"[""yes""]","Yes, both Sofia Coppola and Gunnar Olsson have acted. Sofia Coppola has acted in several films, including ""The Godfather Part III"" and ""Marie Antoinette"". Gunnar Olsson has also acted in several films, including ""The Girl with the Dragon Tattoo"" and ""The 100-Year-Old Man Who Climbed Out the Window and Disappeared"".",True
What is the name of the large village situated bewteen Scunthorpe and Gainsborough that is near to the village of Scotton?,Scotter,"[""Scotter""]",Scotter is the name of the large village situated between Scunthorpe and Gainsborough that is near to the village of Scotton.,True
"In Yara, Cuba the Taíno language was spoken, Yara means which word in Taíno?",place,"[""place""]","Yara means ""place"" in the Taíno language.",True
"Which is a taller mountain, K2 or Gasherbrum III?",K2,"[""K2""]",Gasherbrum III is taller than K2.,True
What Business conglomerate incorporated in Bermuda is closely associated with Matheson & Company?,Jardine Matheson,"[""Jardine Matheson""]",Jardine Matheson Holdings Limited is the business conglomerate incorporated in Bermuda that is closely associated with Matheson & Company.,True
"Who has the most awards, Isabel Allende or Jane Smiley",Isabel Allende,"[""Isabel Allende""]",I don't know.,False
"Who is older, Kirk Windstein or Sade?",Sade,"[""Sade""]",Kirk Windstein is older than Sade.,True
What do a Toyota TF101 and Allan McNish have in comman?,Formula One,"[""Formula One""]","The Toyota TF101 and Allan McNish have something in common, which is that they both were involved with the Toyota Formula One team. The TF101 was the car used for testing purposes in 2001, while McNish was a driver for the team in 2002, piloting the TF102.",True
Are Claudio Sanchez and Liv Kristine in the same industry?,yes,"[""yes""]","No, Claudio Sanchez and Liv Kristine are not in the same industry. Claudio Sanchez is a writer and musician, best known for being the lead singer and guitarist for the alternative/progressive rock group Coheed and Cambria. He is also a comic book artist and writer, and has co-authored a novel with Peter David.

Liv Kristine is a Norwegian singer and songwriter, best known for her work in the metal and gothic rock genres. She has been a member of several bands, including Leaves' Eyes and The Sins of Thy Beloved, and has released several solo albums.",True
"Which mine was a gold producer at Yellowknife, Negus Mine or McIntyre Mines?",Negus Mine,"[""Negus Mine""]",The Negus Mine was a gold producer at Yellowknife.,True
Wong Jing and Stanley Donen are both what?,film director,"[""film director""]",Wong Jing and Stanley Donen are both film directors.,True
What are Carmen and Un ballo in maschera?,opera,"[""opera""]",Carmen is a fictional character in a series of stories and an opera. Un ballo in maschera is an opera by Giuseppe Verdi.,True
"Who is older, Dan Andriano, or Karl Sanders?",Karl Sanders,"[""Karl Sanders""]",I don't know.,False
Hans Behrendt and Roland Joffé both had careers as?,film director,"[""film director""]","Hans Behrendt had a career as an actor, screenwriter, and film director. Roland Joffé had a career as a film director.",True
The Koolie and the Sakhalin Husky are both breeds of what animal?,dog,"[""dog""]",The Koolie and the Sakhalin Husky are both breeds of dog.,True
"Which location is closer to the ocean, Kathmandu Valley or Australian Convict Sites?",Australian Convict Sites,"[""Australian Convict Sites""]",Australian Convict Sites is closer to the ocean than Kathmandu Valley.,True
