query,correct_answer
Ptychosperma and Carissa are both native to where?,Australia
"Who is from farther west, Makethisrelate or Saosin?",Saosin
What 1st Earl of Avon also signed the Anglo-Soviet Treaty of 1942?,Anthony Eden
Encyclopedia of Afghan Jihad was a manual found in the residence of which Egyptian cleric?,Abu Hamza al-Masri
"Thorvald Eiriksson, was the son of Erik the Red and brother of who?",Leif Erikson
Are Manuel Orantes and Anna-Lena Grönefeld both tennis players?,yes
In between Vizsla and Bloodhound which one was originally bred for hunting deer?,Bloodhound
"Witch mountain is closer to Mount Everest, Baintha Brakk or Nuptse?",Nuptse
Are Arnold Antonin and Baltasar Kormákur both directors?,yes
Are Mark Steyn and Tucker Carlson conservative or liberal commentator's?,conservative
Both Asian Semi-longhair and Chantilly-Tiffany discusses about which animal?,cat
Which large auto show featured the Buick Centieme in 2003?,North American International Auto Show
"Which filmmaker was Japanese, Hiroshi Inagaki or Ronald Neame?",Hiroshi Inagaki
Are both Dodecatheon and Bloomeria native to North America?,yes
Are both Copella juice products and Tizer made purely from fresh fruits?,no
"Who is older, Dexter Holland or Mark Shaw?",Mark Shaw
"Which drink was sold first, Kinnie or Frijj?",Kinnie
Were J. G. Ballard and P. G. Wodehouse both authors?,yes
Are Lift and Izze both products produced by the Coca-Cola Company?,no
Do both Tracey Thorn and Eugene Hütz have disc jockeying in their accomplishment credits?,no
"Who was considered more radical, Ivor Gurney or Wilhelm Reich?",Wilhelm Reich
"Which is of Korean heritage, Kim Tae-woo or Nate Albert?",Kim Tae-woo
"Hechtia and Dipsacus, are native to the same locations?",no
OK! and Peg's Paper are both what?,magazine
Bille August and Irving Cummings have both been what?,director
The husband of Kathleen Kennedy was heir apparent to the 10th Duke of where?,Devonshire
"Which drink was distributed first, Solo or Aquafina?",Solo
Have Guy Maddin and Mel Brooks both been directors?,yes
Are Graham Swift and Norman Lindsay both Australian?,no
"Hennes and Gynaika Magazine, are which genre of magazines?",women's
"Who is older, Klaus-Dietrich Flade or Jean-Pierre Haigneré?",Jean-Pierre Haigneré
Are both magazines Essence and Soccer America devoted to the same topic ?,no
Were both Luca Parmitano and Dumitru Prunariu Russian astronauts?,no
Who wrote both Veedon Fleece and Cul de Sac?,Van Morrison
Are the Hobbit and FM-7 both home computers?,yes
"What open-air stadium in Philadelphia hosted the 1985 event that was billed as the ""global jukebox""?",John F. Kennedy Stadium
Are the Catalan Sheepdog and the Can de Palleiro both bred in Spain?,yes
Which of the handgun with which .400 Cor-Bon was designed to mimic was designed by John Browning in 1905?,.45 ACP
"Lagarosiphon and Agave, are a yype of what?",plant
Have Salman Rushdie and Roger Zelazny both received awards for their writing?,yes
What Northumbrian missionary saint studied at Rath Melsigi?,Willibrord
What German composer wrote a letter in 1770 addressing Lucrezia Aguiari's ability to perform in C sporano acuto?,Leopold Mozart
are Leonard Cohen and Henri Michaux both poets ?,yes
Are Maher Sabry and Joseph L. Mankiewicz both cartoonist?,no
Galicia Hoxe was a newspaper from what capital of Galicia?,Santiago de Compostela
Have both Sofia Coppola and Gunnar Olsson acted?,yes
What is the name of the large village situated bewteen Scunthorpe and Gainsborough that is near to the village of Scotton?,Scotter
"In Yara, Cuba the Taíno language was spoken, Yara means which word in Taíno?",place
"Which is a taller mountain, K2 or Gasherbrum III?",K2
What Business conglomerate incorporated in Bermuda is closely associated with Matheson & Company?,Jardine Matheson
"Who has the most awards, Isabel Allende or Jane Smiley",Isabel Allende
"Who is older, Kirk Windstein or Sade?",Sade
What do a Toyota TF101 and Allan McNish have in comman?,Formula One
Are Claudio Sanchez and Liv Kristine in the same industry?,yes
"Which mine was a gold producer at Yellowknife, Negus Mine or McIntyre Mines?",Negus Mine
Wong Jing and Stanley Donen are both what?,film director
What are Carmen and Un ballo in maschera?,opera
"Who is older, Dan Andriano, or Karl Sanders?",Karl Sanders
Hans Behrendt and Roland Joffé both had careers as?,film director
The Koolie and the Sakhalin Husky are both breeds of what animal?,dog
"Which location is closer to the ocean, Kathmandu Valley or Australian Convict Sites?",Australian Convict Sites
