query,correct_answer
Are Manuel Orantes and Anna-Lena Grönefeld both tennis players?,yes
In between Vizsla and Bloodhound which one was originally bred for hunting deer?,Bloodhound
"Witch mountain is closer to Mount Everest, Baintha Brakk or Nuptse?",Nuptse
Are Arnold Antonin and Baltasar Kormákur both directors?,yes
Are Mark Steyn and Tucker Carlson conservative or liberal commentator's?,conservative
Both Asian Semi-longhair and Chantilly-Tiffany discusses about which animal?,cat
Which large auto show featured the Buick Centieme in 2003?,North American International Auto Show
"Which filmmaker was Japanese, Hiroshi Inagaki or Ronald Neame?",Hiroshi Inagaki
Are both Dodecatheon and Bloomeria native to North America?,yes
"Which drink was sold first, Kinnie or Frijj?",Kinnie
Were J. G. Ballard and P. G. Wodehouse both authors?,yes
Are Lift and Izze both products produced by the Coca-Cola Company?,no
Do both Tracey Thorn and Eugene Hütz have disc jockeying in their accomplishment credits?,no
"Hechtia and Dipsacus, are native to the same locations?",no
Bille August and Irving Cummings have both been what?,director
The husband of Kathleen Kennedy was heir apparent to the 10th Duke of where?,Devonshire
Have Guy Maddin and Mel Brooks both been directors?,yes
Are Graham Swift and Norman Lindsay both Australian?,no
"Hennes and Gynaika Magazine, are which genre of magazines?",women's
"Who is older, Klaus-Dietrich Flade or Jean-Pierre Haigneré?",Jean-Pierre Haigneré
Are both magazines Essence and Soccer America devoted to the same topic ?,no
Were both Luca Parmitano and Dumitru Prunariu Russian astronauts?,no
Who wrote both Veedon Fleece and Cul de Sac?,Van Morrison
Are the Hobbit and FM-7 both home computers?,yes
"What open-air stadium in Philadelphia hosted the 1985 event that was billed as the ""global jukebox""?",John F. Kennedy Stadium
Are the Catalan Sheepdog and the Can de Palleiro both bred in Spain?,yes
"Lagarosiphon and Agave, are a yype of what?",plant
Have Salman Rushdie and Roger Zelazny both received awards for their writing?,yes
What German composer wrote a letter in 1770 addressing Lucrezia Aguiari's ability to perform in C sporano acuto?,Leopold Mozart
are Leonard Cohen and Henri Michaux both poets ?,yes
Are Maher Sabry and Joseph L. Mankiewicz both cartoonist?,no
Galicia Hoxe was a newspaper from what capital of Galicia?,Santiago de Compostela
Have both Sofia Coppola and Gunnar Olsson acted?,yes
What is the name of the large village situated bewteen Scunthorpe and Gainsborough that is near to the village of Scotton?,Scotter
"In Yara, Cuba the Taíno language was spoken, Yara means which word in Taíno?",place
"Which is a taller mountain, K2 or Gasherbrum III?",K2
What Business conglomerate incorporated in Bermuda is closely associated with Matheson & Company?,Jardine Matheson
"Who is older, Kirk Windstein or Sade?",Sade
What do a Toyota TF101 and Allan McNish have in comman?,Formula One
Are Claudio Sanchez and Liv Kristine in the same industry?,yes
"Which mine was a gold producer at Yellowknife, Negus Mine or McIntyre Mines?",Negus Mine
Wong Jing and Stanley Donen are both what?,film director
What are Carmen and Un ballo in maschera?,opera
Hans Behrendt and Roland Joffé both had careers as?,film director
The Koolie and the Sakhalin Husky are both breeds of what animal?,dog
"Which location is closer to the ocean, Kathmandu Valley or Australian Convict Sites?",Australian Convict Sites
Who stars in Shanghai Calling and The Last Stand?,Daniel Henney
Are Armen Chakmakian and Reuben Nakian both sculptors?,no
Are Candice Night and Ben Gibbard both Americans ?,yes
Anthony Dirrell is the brother of which super-middleweight title holder?,Andre Dirrell
"What was geared toward children, Glamour or Disney Adventures?",Disney Adventures
Cameron Leslie operates the nightclub Fabric and then opened a 2nd nightclub under what name?,Matter
Alessandra Ferri was granted what most notable title for her profession?,Prima ballerina assoluta
Are Kangchenjunga and Trivor both mountains?,yes
Are Adenanthos and Honeysuckle both shrubs?,yes
"Katherine Anne Porter and Ödön von Horváth, are in the writing industry?",yes
What is the capital of Rhode Island,Providence
Lazarus was a soundtrack of the musical with lyrics composed by whom?,David Bowie
SAVAK was dissolved during the outbreak of the overthrow of which dynasty?,Pahlavi
Are Raffaella Reggi and Marion Bartoli both former tennis players?,yes
Kathleen Hanna and Jane Relf are both what?,singer
