sample_index,query_id,query,short_answer,short_answers_json
132,76180,can you buy american green card,No,"[""No"", ""No, You cannot buy American green card.""]"
133,1013576,which molecules can enter the krebs cycle?,Carbon dioxide molecules,"[""Carbon dioxide molecules""]"
134,1045011,who own kia motors,Hyundai,"[""Hyundai""]"
135,996935,where is the ocean city boardwalk,Maryland,"[""Maryland""]"
136,603726,what county is burlington washington in,Skagit,"[""Skagit""]"
140,969549,where did the french normans originate from,Normandy in Northern France.,"[""Normandy in Northern France."", ""French Normans originated from Normandy in Northern France.""]"
143,889572,what province is pq,Canada,"[""Canada""]"
145,613497,what county is taylorsville utah,Salt Lake County,"[""Salt Lake County""]"
146,1077185,will a knock sensor cause a car to lose power,No,"[""No""]"
149,63881,can aloe/haworthia treat sunburn,Yes,"[""Yes""]"
155,81423,canadian sharp shooter who broke the record for killing a terrorist,Rob Furlong,"[""Rob Furlong""]"
159,171344,does sickle cell provide protection against other forms of malaria,Yes,"[""Yes""]"
160,402320,is amnesty international non violent,Yes,"[""Yes""]"
162,789444,what is ralph macchio net worth,$2 Million.,"[""$2 Million.""]"
163,540222,was jeremiah johnson based on a true story,Yes,"[""Yes""]"
171,1043169,who leads the senate,Vice President,"[""Vice President"", ""Pro tempore leads the Senate.""]"
173,243079,how long can you keep cooked ribs in the refrigerator,"At least a week, probably two.","[""At least a week, probably two.""]"
174,153721,distance from sydney to fiji,"1,983 miles","[""1,983 miles""]"
176,1004320,where was zelda fitzgerald born,"Montgomery, Alabama","[""Montgomery, Alabama"", ""In Montgomery, Alabama.""]"
184,927509,what year started baby boomers,1946,"[""1946""]"
193,874108,what life processes does mycobacterium tuberculosis,Tuberculosis,"[""Tuberculosis""]"
208,407309,is cottage cheese protein or dairy,Dairy,"[""Dairy""]"
213,1000392,where is wsop main event located,"Las Vegas, Nevada, USA.","[""Las Vegas, Nevada, USA.""]"
216,999923,where is weatogue located?,"In Simsbury, Hartford County, Connecticut.","[""In Simsbury, Hartford County, Connecticut.""]"
217,873885,what level does zubat evolve into golbat,22,"[""22"", ""Zubat evolves into Golbat at level 22.""]"
221,412902,is immune system weakened when pregnant,Yes,"[""Yes""]"
232,609243,what county is mcallen tx,In Hidalgo County,"[""In Hidalgo County""]"
236,900213,what system is liver apart of,Digestive system,"[""Digestive system""]"
237,16544,american airlines what terminal at heathrow,Terminal 3,"[""Terminal 3""]"
240,832291,what is the medical term for mds,Myelodysplastic syndromes,"[""Myelodysplastic syndromes""]"
252,69480,can i refreeze chicken,Yes,"[""Yes""]"
256,389671,hyaline cartilage consists of specialized cells called,Chondrocytes,"[""Chondrocytes""]"
258,958406,when was julius caesar's birthday?,"July 12, 100 BC","[""July 12, 100 BC"", ""12 July 100 BCE""]"
259,550827,what age do males go through puberty,13 or 14,"[""13 or 14""]"
265,409010,is earth an electromagnet,Yes,"[""Yes""]"
269,400947,is a slug a vertebrate,No,"[""No""]"
271,989476,where is nrt airport,Tokyo,"[""Tokyo""]"
284,316675,how much does it cost to replace a water pressure valve,$450 to $875,"[""$450 to $875""]"
285,68515,can i change a pdf to a jpeg,Yes,"[""Yes""]"
288,1000502,where is yellowstone park located,"Western United States in Idaho, Montana, and Wyoming.","[""Western United States in Idaho, Montana, and Wyoming.""]"
291,634944,what does conductive mean,Having conductivity,"[""Having conductivity""]"
302,111078,cost to run a window air conditioner per year,$300,"[""$300""]"
312,7984,When is Chinese Ghost Month,August,"[""August""]"
314,67890,can hamster eat carrots,Yes,"[""Yes""]"
319,68636,can i combine two 15 amp circuits,Yes,"[""Yes""]"
329,144714,did obama sign executive order on affordable care act,Yes,"[""Yes""]"
333,476895,"population carson, ca","91,714","[""91,714""]"
351,986281,where is land of the living apothecary located?,Snohomish,"[""Snohomish""]"
371,939360,when did kansas become a state in the us,1861,"[""1861""]"
380,66677,can dogs have peas,Yes,"[""Yes""]"
384,1025126,who can prescribe desmopressin,Physicians,"[""Physicians""]"
387,312965,how much does an organic chemist make,$59K per year,"[""$59K per year""]"
389,426997,is the optic nerve sensory or motor,Sensory,"[""Sensory""]"
393,3810,How many delegates does clinton need,"2,242","[""2,242""]"
397,64774,can bad posture cause headache,Yes,"[""Yes""]"
400,871956,what language do amish speak,Pennsylvania German,"[""Pennsylvania German""]"
405,1054906,who was meghan markle's first husband,Trevor Engelson,"[""Trevor Engelson""]"
414,608010,what county is killen alabama in,Lauderdale County.,"[""Lauderdale County.""]"
415,960941,when was the first episode of spongebob,"May 1, 1999","[""May 1, 1999""]"
417,477729,"population of holstein, ia","1,396","[""1,396""]"
418,880804,"what nationality is patrick süskind, famous author of the novel 'perfume'?",German,"[""German""]"
433,889862,what qualifies as a conviction,Expungement,"[""Expungement"", ""Expungement qualifies as a conviction.""]"
436,413251,is irish a dead language,Yes,"[""Yes""]"
443,2815,Does office 365 have desktop sharing?,yes,"[""yes""]"
450,418705,is multiple sclerosis an autoimmune disease,Yes,"[""Yes""]"
454,967274,where bernie sanders and wife took honeymoon,Soviet Union,"[""Soviet Union""]"
459,434548,kingsburg ca population,"11,582","[""11,582""]"
465,658220,what ethnicity is lauren riihimaki,Canadian,"[""Canadian""]"
475,808859,what is the best week day to buy a plane ticket,Tuesday,"[""Tuesday""]"
480,393870,in what continent is egypt in,Africa,"[""Africa""]"
482,957143,when was churchill born,"On November 30, 1874","[""On November 30, 1874""]"
483,691535,what is a moose type of prey,Herbivores,"[""Herbivores""]"
492,1051443,who sings nationwide is on your side,Jana Kramer,"[""Jana Kramer""]"
499,602945,"what county is beaumont, tx in",Jefferson County,"[""Jefferson County""]"
