query,correct_answer,correct_answer_aliases
who plays scrooge mcduck in the new ducktales,David Tennant,"[""David Tennant""]"
who has won the mens singles title in the australian open tennis tournament,Roger Federer,"[""Roger Federer""]"
when did canada sign the un declaration of indigenous rights,May 2016,"[""May 2016"", ""12 November 2010""]"
what was guantanamo bay before it was a prison,Guantanamo Bay Naval Base,"[""Guantanamo Bay Naval Base""]"
who was tammy from basketball wives married to,basketball player Kenny Anderson,"[""basketball player Kenny Anderson"", ""Kenny Anderson""]"
when does wonder woman come out on blue ray,"September 19, 2017","[""September 19, 2017""]"
from whose perspective is the story of all quiet on the western front told,Paul Baumer,"[""Paul Baumer""]"
who wrote ain't living long like this,Rodney Crowell,"[""Rodney Crowell""]"
who dies in season 6 of once upon a time,Hyde,"[""Hyde"", ""Jekyll""]"
when was the last time the boston red sox pitched a no-hitter,"May 19, 2008","[""May 19, 2008""]"
when did world war 2 end in the pacific,14 and 15 August 1945,"[""14 and 15 August 1945"", ""September 2, 1945""]"
who won the academy award for best original musical score,Alexandre Desplat,"[""Alexandre Desplat"", ""The Shape of Water""]"
what is the name of the compound p4010,Phosphorus pentoxide,"[""Phosphorus pentoxide""]"
who sang original i want a hippopotamus for christmas,Gayla Peevey,"[""Gayla Peevey""]"
who sang the american anthem at the super bowl,Pink,"[""Pink""]"
actress who plays penelope garcia on criminal minds,Kirsten Simone Vangsness,"[""Kirsten Simone Vangsness""]"
where does the red badge of courage take place,the field of battle,"[""the field of battle""]"
how did long john silver lose his leg in treasure island,in the Royal Navy,"[""in the Royal Navy""]"
who missed the plane the day the music died,Tommy Allsup,"[""Tommy Allsup"", ""Waylon Jennings""]"
when does the new season on the 100 come out,"April 24, 2018","[""April 24, 2018""]"
who plays reggie the robot in justin's house,Ben Faulks,"[""Ben Faulks""]"
who does stefan marry in the vampire diaries,Caroline Forbes,"[""Caroline Forbes""]"
when was the movie the wizard of oz made,1939,"[""1939"", ""August 25, 1939""]"
where does arsenic and old lace take place,"Brooklyn, New York","[""Brooklyn, New York""]"
what college does everyone in gossip girl go to,New York University,"[""New York University"", ""Columbia University""]"
who sings i want to be a rockstar,Nickelback,"[""Nickelback"", ""Canadian rock band Nickelback"", ""Billy Gibbons of ZZ Top""]"
how tall is the actor who plays hagrid in harry potter,6ft 1in,"[""6ft 1in""]"
who destroyed the first temple and exiled the two tribes of judah to babylon,Nebuchadnezzar,"[""Nebuchadnezzar""]"
when does season 5 of the blacklist resume,"January 31, 2018","[""January 31, 2018""]"
when does season 18 of law and order svu start,"September 21, 2016","[""September 21, 2016""]"
who won the icc under 19 world cup 2018,West Indies,"[""West Indies"", ""India""]"
who plays kevins shrink on kevin probably saves the world,Richard Masur,"[""Richard Masur""]"
where is gall bladder situated in human body,beneath the liver,"[""beneath the liver""]"
when were the words under god added to the pledge,on Flag Day in 1954,"[""on Flag Day in 1954"", ""1954"", ""Flag Day in 1954""]"
in the song i drive your truck who is he talking about,his brother,"[""his brother""]"
where does the spinal cord become cauda equina,L1 or L2,"[""L1 or L2"", ""the conus medullaris""]"
ray charles hit the road jack album name,Ray Charles Greatest Hits,"[""Ray Charles Greatest Hits""]"
the group that officially elects the president of the united states is called,the U.S. Electoral College,"[""the U.S. Electoral College"", ""U.S. Electoral College""]"
when do luke and lorelai get back together,Say Goodbye to Daisy Miller,"[""Say Goodbye to Daisy Miller""]"
when does the 2017 college football season end,"December 9, 2017","[""December 9, 2017""]"
on which river did the exploration of the louisiana purchase begin,Missouri River,"[""Missouri River"", ""the Missouri River""]"
who sang the song a white sports coat and a pink carnation,Marty Robbins,"[""Marty Robbins""]"
when did the nba create the 3 point line,the 1979–80 season,"[""the 1979–80 season"", ""1979–80 season""]"
what are the two extracellular fluid compartments in the body,transcellular,"[""transcellular"", ""intravascular"", ""interstitial""]"
who has won the most f1 grand prix,Michael Schumacher,"[""Michael Schumacher""]"
what was tom hanks character name in castaway,Chuck Noland,"[""Chuck Noland""]"
where does the red river start and end in louisiana,the Texas Panhandle,"[""the Texas Panhandle""]"
when did the dallas cowboys win their last playoff game,2014,"[""2014"", ""2016""]"
who played john coffey in the movie the green mile,Michael Clarke Duncan,"[""Michael Clarke Duncan""]"
who bowled the last over of the 2007 world twenty20 that india won,Pakistan,"[""Pakistan""]"
who has been ranked no. 1 in the latest football rankings announced by fifa,Germany,"[""Germany""]"
what breed of cat has spots and stripes,tabby,"[""tabby""]"
who is the first prime minister of france,Michel Debré,"[""Michel Debré""]"
if a piece of music is perceived to have changed key then we say the piece has,transposed,"[""transposed"", ""transposition""]"
who played junior on in the heat of the night,Christian LeBlanc,"[""Christian LeBlanc""]"
input that tells the computer which task to execute is,source code,"[""source code"", ""A computer program""]"
what is the meaning of auv in cars,action utility vehicles,"[""action utility vehicles""]"
who plays nathan's mother on general hospital,Donna Mills,"[""Donna Mills""]"
who plays nikko in the wizard of oz,Patrick Walshe,"[""Patrick Walshe""]"
when did ohio state join the big 10,1912,"[""1912""]"
who plays red on orange is new black,"""Kate"" Mulgrew","[""\""Kate\"" Mulgrew""]"
who was selected for the 2018 football hall of fame,Ray Lewis,"[""Ray Lewis"", ""Brian Urlacher"", ""Jerry Kramer"", ""Robert Brazile"", ""Bobby Beathard"", ""Brian Dawkins"", ""Randy Moss"", ""Terrell Owens""]"
where did the last name edwards come from,England,"[""England"", ""Scotland"", ""Wales""]"
who carried the usa flag in opening ceremony,Erin Hamlin,"[""Erin Hamlin""]"
who sings you are a magnet and i am steel,Walter Egan,"[""Walter Egan""]"
who led the soldiers in ending the raid on the harper's ferry arsenal,Colonel Robert E. Lee,"[""Colonel Robert E. Lee"", ""First Lieutenant Israel Greene"", ""Brevet Colonel Robert E. Lee""]"
who become ceo of wipro company in 2016,Abid Ali Neemuchwala,"[""Abid Ali Neemuchwala""]"
when did korea separate into north and south,1945,"[""1945"", ""17 August 1945""]"
who sang how long has this been going on song,Ace,"[""Ace""]"
what is the 180 degree line of longitude called,180th meridian or antimeridian,"[""180th meridian or antimeridian"", ""180th meridian"", ""antimeridian""]"
who played mrs. trumbull on i love lucy,Mary Elizabeth Patterson,"[""Mary Elizabeth Patterson""]"
who is credited with creating the gothic art movement,Abbot Suger,"[""Abbot Suger""]"
when was the first commercial cell phone released,1983,"[""1983"", ""1973""]"
the probability of making a type i error when retaining ho at the .05 level of significance is,5%,"[""5%""]"
who is the girl in green day 21 guns,Lisa Stelly,"[""Lisa Stelly""]"
what is the width of a cricket bat,no more than 4.25 inches,"[""no more than 4.25 inches""]"
where is south pole located on a map,on the continent of Antarctica,"[""on the continent of Antarctica""]"
where is final four being held this year,the Alamodome,"[""the Alamodome""]"
who plays emma in air bud world pup,Brittany Paige Bouck,"[""Brittany Paige Bouck""]"
where was the hindenburg scheduled to fly and how many passengers were on it,36 passengers,"[""36 passengers""]"
who has won the most united states championships,Lex Luger,"[""Lex Luger"", ""Ric Flair""]"
who sang the original scooby doo theme song,Larry Marks,"[""Larry Marks""]"
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"[""Cathy Dennis and Rob Davis"", ""Rob Davis"", ""Cathy Dennis""]"
who did michigan state play in the rose bowl,Stanford Cardinal,"[""Stanford Cardinal""]"
when is season 2 of jessica jones being released,"March 8, 2018","[""March 8, 2018""]"
the lowest temperature at which a lubricant will flow is called the,pour point,"[""pour point""]"
when does the new season of are you the one come on,2018,"[""2018""]"
the era of the great mughals began with the accession of,Akbar the Great,"[""Akbar the Great"", ""Babur""]"
what is the democracy of the united states,federal republic,"[""federal republic""]"
what is the ultimate objective of financial management,Profit maximization,"[""Profit maximization""]"
who did the central powers defeat on the eastern front before concentrating back on france,the Russian army,"[""the Russian army""]"
how did the dominican republic get its name,"patron saint, Saint Dominic","[""patron saint, Saint Dominic""]"
who plays noah newman on the young and the restless,Robert Gillespie Adamson IV,"[""Robert Gillespie Adamson IV""]"
when was where have all the flowers gone written,1955,"[""1955""]"
state the process that divides one nucleus into two genetically identical nuclei,mitosis,"[""mitosis""]"
who present the central budget in lok sabha,the Finance Minister of India,"[""the Finance Minister of India""]"
who changed the role of the first lady,Dolley Madison,"[""Dolley Madison""]"
when did sussex split into east and west,1832,"[""1832"", ""1889""]"
when is the last time congress passed a complete budget,FY2010,"[""FY2010"", ""March 23, 2013""]"
who played tom in four weddings and a funeral,James Fleet,"[""James Fleet""]"
who laid foundation stone of islamia college peshawar,Haji Sahib,"[""Haji Sahib"", ""Haji Sahib of Turangzai""]"
what dynasty completed the great wall of china,Qin,"[""Qin"", ""Ming dynasty"", ""Qing""]"
who invented the cornell method of note taking,Walter Pauk,"[""Walter Pauk""]"
character in macbeth who is murdered and appears as a ghost,Lord Banquo,"[""Lord Banquo"", ""Banquo""]"
when did macbook pro 13 inch come out,October 2008,"[""October 2008"", ""June 8, 2009""]"
what part of brain is responsible for complex thinking,the frontal lobe,"[""the frontal lobe""]"
who sang for lee bowman in my dream is yours,Hal Derwin,"[""Hal Derwin""]"
who played shaggy in the new scooby doo movie,Matthew Lyn Lillard,"[""Matthew Lyn Lillard""]"
colby chees is named after a town in what state,Wisconsin,"[""Wisconsin""]"
who carried florida by 537 votes in 2000,George W. Bush,"[""George W. Bush"", ""Bush""]"
what language is the olympic anthem sang in,Greek,"[""Greek""]"
what is the longest panic at the disco song title,Bohemian Rhapsody,"[""Bohemian Rhapsody""]"
how many times has lake placid hosted the winter olympics,twice,"[""twice""]"
when did india win their first cricket match,1952,"[""1952""]"
what parts make up the peripheral nervous system,autonomic nervous system,"[""autonomic nervous system"", ""somatic nervous system""]"
who appoints the chair of the federal reserve system,President of the United States,"[""President of the United States""]"
where is the love meaning of the song,lament on various worldwide problems,"[""lament on various worldwide problems""]"
when is the flash coming back after christmas,"January 16, 2018","[""January 16, 2018""]"
who does the voice of the elephant in sing,Tori Kelly,"[""Tori Kelly""]"
who sang i knew the bride when she used to rock and roll,Dave Edmunds,"[""Dave Edmunds""]"
is jaffa cakes a biscuit or a cake,Cake,"[""Cake"", ""biscuit-sized cakes"", ""cakes""]"
what kind of sentence contains an independent clause and a dependent clause,A complex sentence,"[""A complex sentence"", ""complex sentence""]"
ahana from dil sambhal ja zara real name,Smriti Kalra,"[""Smriti Kalra""]"
when was the first ford f 150 made,1975,"[""1975""]"
when did john steinbeck write of mice and me,1937,"[""1937""]"
computer based models of real life situation are called,Computer simulation,"[""Computer simulation"", ""Computer simulations""]"
who was the killer in the movie i know what you did last summer,Ben Willis,"[""Ben Willis""]"
what is the largest ethnic group in mexico today,K'iche',"[""K'iche'""]"
what is the meaning of cc and bcc,Carbon copy,"[""Carbon copy"", ""Carbon copy to secondary recipients"", ""Blind carbon copy""]"
when was the first time lebron went to the finals,2007,"[""2007""]"
who plays gram on the young and the restless,Max Shippee,"[""Max Shippee""]"
what are some special products made in mississippi,farm-raised catfish,"[""farm-raised catfish""]"
when did the movie varsity blues come out,1999,"[""1999"", ""January 15, 1999""]"
aphasia is a term defining difficulty or loss of ability to,comprehend and formulate language,"[""comprehend and formulate language"", ""formulate language""]"
who has the most restaurants in the world,SUBWAY,"[""SUBWAY""]"
who holds the record for most everest summits,Kami Rita,"[""Kami Rita"", ""Phurba Tashi Sherpa"", ""Apa Sherpa"", ""Phurba Tashi"", ""Kami Rita Sherpa""]"
when was the japanese videogame company nintendo founded,23 September 1889,"[""23 September 1889""]"
who are the judges on the fisa court,Thomas Russell,"[""Thomas Russell"", ""Claire Eagan"", ""Dennis Saylor"", ""Anne Conway"", ""Raymond Dearie"", ""Robert Kugler"", ""James Jones"", ""Rudolph Contreras"", ""Jeb Boasberg"", ""Michael Mosman""]"
when did the nest 3rd generation come out,"September 1, 2015","[""September 1, 2015""]"
who is known as the philippine queen of bossa nova,Sitti Navarro,"[""Sitti Navarro""]"
when was the last time dallas cowboys won the super bowl,1995,"[""1995""]"
who is the ceo of what's up,Jan Koum,"[""Jan Koum""]"
who's playing in the sec championship 2017,Auburn Tigers,"[""Auburn Tigers"", ""Georgia Bulldogs""]"
all time highest goal scorer in spain national team,David Villa,"[""David Villa""]"
when did equus first appear in fossil record,1820s,"[""1820s"", ""~3.5 million years old"", ""about 3.5 mya""]"
who is credited with developing the geocentric view,Ptolemy,"[""Ptolemy""]"
where was the world economic forum held this year,Davos,"[""Davos""]"
what is the meaning of the name habib,"""beloved""","[""\""beloved\"""", ""beloved""]"
where is the boy who played charlie in willy wonka,Peter Gardner[4] Ostrum,"[""Peter Gardner[4] Ostrum"", ""Lowville, New York""]"
who inaugurated 'world teachers' day',UNESCO,"[""UNESCO"", ""ILO""]"
what is the form of mozart symphony no 40,G minor,"[""G minor"", ""minor key symphonies""]"
how many tornado planes does the uk have,138,"[""138""]"
what is the population of st petersburg fl,"260,999","[""260,999"", ""257,083""]"
when did they stop making jello pudding pops,the 90s,"[""the 90s"", ""around 2011""]"
when did movies start coming out in color,introduced around 1940,"[""introduced around 1940"", ""1895""]"
where was the movie i am number 4 filmed,the Pittsburgh metropolitan area,"[""the Pittsburgh metropolitan area""]"
who wins america's next top model cycle 20,Jourdan Miller,"[""Jourdan Miller""]"
who starred in the film walk the line,Ginnifer Goodwin,"[""Ginnifer Goodwin"", ""Reese Witherspoon"", ""Dallas Roberts"", ""Joaquin Phoenix"", ""Robert Patrick""]"
who monitor the recovery of the location during a disaster,management team,"[""management team""]"
how old is baby in dirty dancing movie,17-year-old,"[""17-year-old"", ""17""]"
when does the second half of vikings season 5 air,2018,"[""2018"", ""in 2018""]"
trick taking card game name derived from spanish for man,Skat,"[""Skat""]"
how many countries participated for the first time in the 2014 olympic winter games in sochi,Brazil,"[""Brazil"", ""Uzbekistan"", ""Turkey""]"
when is the last time the philadelphia won the superbowl,"Super Bowl LII,","[""Super Bowl LII,"", ""2017""]"
is there a name for the at symbol,commercial at,"[""commercial at"", ""at symbol"", ""at sign""]"
who said beware of the ides of march,the soothsayer,"[""the soothsayer"", ""a seer"", ""a haruspex named Spurinna""]"
who sang the theme song for laverne and shirley,Cyndi Grecco,"[""Cyndi Grecco""]"
when is the end of the football season,"February 4, 2018","[""February 4, 2018""]"
who is currently serving as president of the senate,Orrin Hatch,"[""Orrin Hatch"", ""Patrick Leahy""]"
what features of muscle contraction can be determined from an emg (electromyogram),electric potential generated,"[""electric potential generated""]"
what is the baby elephants name in jungle book,Hathi Jr.,"[""Hathi Jr.""]"
when was the latest version of chrome released,2018-01-22,"[""2018-01-22""]"
what is the revolution period of venus in earth years,224.7 Earth days,"[""224.7 Earth days"", ""0.615198 yr""]"
what is the wave length of x rays,from 0.01 to 10 nanometers,"[""from 0.01 to 10 nanometers""]"
who wrote the song rainy days and mondays,Paul Williams,"[""Paul Williams"", ""Roger Nichols"", ""Roger Nichols and Paul Williams""]"
leader of carthage in the first punic war,Hanno the Great,"[""Hanno the Great"", ""Xanthippus"", ""Hasdrubal the Fair"", ""Hamilcar Barca""]"
when was the last year thanksgiving was on the 23rd,2017,"[""2017""]"
when is season 3 of grace and frankie being released,"March 24, 2017","[""March 24, 2017""]"
who are the dallas cowboys playing on thanksgiving,Los Angeles Chargers,"[""Los Angeles Chargers"", ""the Detroit Lions""]"
who want to be a millionaire calls his dad,Carpenter,"[""Carpenter""]"
where was the original planet of the apes filmed at,Utah,"[""Utah"", ""in northern Arizona"", ""California"", ""Arizona""]"
who was the inventor who developed a way to record sound,Thomas Edison,"[""Thomas Edison""]"
who is the current cruiserweight champion in wwe,Cedric Alexander,"[""Cedric Alexander"", ""Cedric Alexander,""]"
star cast of ab tumhare hawale watan sathiyon,Bobby Deol,"[""Bobby Deol"", ""Akshay Kumar"", ""Divya Khosla Kumar"", ""Nagma"", ""Amitabh Bachchan"", ""Sandali Sinha""]"
where do the maple leafs play hockey in toronto,Air Canada Centre,"[""Air Canada Centre"", ""the Air Canada Centre""]"
what nfl player has the most nfl rings,Charles Haley,"[""Charles Haley"", ""Neal Dahlen"", ""Bill Belichick"", ""Tom Brady"", ""\""Mean Joe\"" Greene""]"
when did harvard become an ivy league school,1945,"[""1945""]"
i like the way you move video cast,Big Boi,"[""Big Boi"", ""Sleepy Brown"", ""Fonzworth Bentley"", ""actress Ki Toy Johnson"", ""Ki Toy Johnson""]"
who did university of miami play last week,FIU,"[""FIU""]"
when was the last time kentucky won ncaa,2012,"[""2012""]"
the most common form of megalithic architecture in europe is,the portal tomb,"[""the portal tomb"", ""portal tomb""]"
what is the full form of ib board,International Baccalaureate,"[""International Baccalaureate"", ""The International Baccalaureate""]"
who plays chris grandy in 13 going on 30,Jim Gaffigan,"[""Jim Gaffigan"", ""Alex Black""]"
who sings i wanna rock'n'roll all night,Kiss,"[""Kiss""]"
word that means separation of church and state,separationism,"[""separationism""]"
is greenland part of europe or north america,North America,"[""North America""]"
what is the title of the person who runs the house of representatives,the Speaker of the House,"[""the Speaker of the House"", ""Speaker of the House""]"
when did brent barry won the dunk contest,1996,"[""1996""]"
prior to 1948 north and south vietnam were a part of,France,"[""France""]"
what is the order of the netflix marvel shows,Marvel's Iron Fist,"[""Marvel's Iron Fist"", ""Marvel's Daredevil"", ""Marvel's The Punisher"", ""Marvel's Jessica Jones"", ""Marvel's The Defenders"", ""Marvel's Luke Cage""]"
when did teenage mutant ninja turtles come out,1984,"[""1984""]"
which of the following helmiths feeds on blood,Necator americanus,"[""Necator americanus"", ""Ancylostoma duodenale""]"
what is the biggest town in west virginia,Charleston,"[""Charleston""]"
when was the last time new zealand had an earthquake,11 Jul 2017,"[""11 Jul 2017""]"
when does wentworth season 6 start in australia,2019,"[""2019"", ""19 June 2018""]"
who said one man's vulgarity is another's lyric,Justice Harlan,"[""Justice Harlan""]"
who won first ancient olympic 200 yard race,Coroebus of Elis,"[""Coroebus of Elis""]"
when is the publishers clearing house sweepstakes drawing,just after the Super Bowl,"[""just after the Super Bowl""]"
where does creatine come from in the body,kidneys,"[""kidneys"", ""liver"", ""the liver and kidneys"", ""arginine"", ""glycine""]"
who became a leader of the indian national congress,Mahatma Gandhi,"[""Mahatma Gandhi""]"
where is the 7th game of the world series played,"Dodger Stadium, Los Angeles","[""Dodger Stadium, Los Angeles""]"
when was theme from a summer place released,1960,"[""1960"", ""1959"", ""September 1959""]"
total strength of judges in supreme court of india,24,"[""24"", ""24 judges""]"
where does the name de la rosa come from,Spanish,"[""Spanish""]"
who gets the golden boot if its a tie,shared,"[""shared""]"
rain sleet or snow that contains a high concentration of acids is called,Acid rain,"[""Acid rain"", ""\""Acid rain\""""]"
what are the monomer building blocks of dna and rna,Nucleotides,"[""Nucleotides""]"
who played pink in pink floyd the wall,Kevin McKeon as Young Pink,"[""Kevin McKeon as Young Pink"", ""Bob Geldof as Pink"", ""David Bingham as Little Pink"", ""Bob Geldof"", ""David Bingham"", ""Kevin McKeon""]"
who wrote the song stop the world and let me off,W. S. Stevenson,"[""W. S. Stevenson"", ""Carl Belew""]"
