query,correct_answer,correct_answer_aliases
what is the title of the person who runs the house of representatives,the Speaker of the House,"[""the Speaker of the House"", ""Speaker of the House""]"
where does creatine come from in the body,kidneys,"[""kidneys"", ""liver"", ""the liver and kidneys"", ""arginine"", ""glycine""]"
where does the name de la rosa come from,Spanish,"[""Spanish""]"
who gets the golden boot if its a tie,shared,"[""shared""]"
rain sleet or snow that contains a high concentration of acids is called,Acid rain,"[""Acid rain"", ""\""Acid rain\""""]"
what are the monomer building blocks of dna and rna,Nucleotides,"[""Nucleotides""]"
when was the first mad max movie release,12 April 1979,"[""12 April 1979"", ""April 1979"", ""1979""]"
where did they get the vibranium to make captain americas shield,Wakanda,"[""Wakanda""]"
when did the ship hector arrived in pictou,1773,"[""1773""]"
who was the ruler of england in 1616,James I,"[""James I""]"
who played truman capote in in cold blood,Philip Seymour Hoffman,"[""Philip Seymour Hoffman""]"
the joint between a coxal bone of the pelvis and the sacrum,sacroiliac joint,"[""sacroiliac joint""]"
when did the song things that make you go hmmm come out,June 1991,"[""June 1991"", ""June 23, 1991""]"
who wrote the treasure of the sierra madre,B. Traven,"[""B. Traven"", ""bilingual German author B. Traven""]"
who was elected president in mexico in 2000,Vicente Fox,"[""Vicente Fox""]"
when did toyota start making cars in the us,by the early 1980s,"[""by the early 1980s"", ""1984""]"
when did the battle of bull run start,"July 21, 1861","[""July 21, 1861"", ""July 21, 1861"", ""5:15 a.m.""]"
when was harry potter and the philosophers stone published,in 1997,"[""in 1997"", ""1997""]"
how old was sasuke when his clan died,seven,"[""seven""]"
