query,correct_answer,correct_answer_aliases,response,is_correct
where does the last name hidalgo come from,Spanish,"[""Spanish""]","The last name Hidalgo comes from the Spanish word ""hidalgo,"" which means ""noble"" or ""of noble birth."" It was a title given to Spanish nobility and later used in Mexico to refer to those of noble birth or high social status. Miguel Hidalgo y Costilla, the person mentioned in the context, was a priest and member of a group of educated criollos in Querétaro City who hosted secret gatherings to discuss whether it was better to obey or to revolt against a tyrannical government. He is considered the ""father of his country"" and is celebrated as such in Mexico.",True
when's the last time army won the army navy game,2017,"[""2017"", ""Army""]",The last time Army won the Army-Navy game was in 2016.,True
which type of hematoma is a result of torn bridging meningeal veins,A subdural hematoma,"[""A subdural hematoma"", ""subdural hematoma (SDH)"", ""subdural hematoma""]",Acute subdural hematoma is a result of torn bridging meningeal veins.,True
who did cora marry in once upon a time,Henry,"[""Henry""]",Cora married Prince Henry in Once Upon a Time.,True
where do rory and paris go to college,Yale University,"[""Yale University"", ""Yale University,""]",Rory goes to Yale University and Paris goes to Harvard University.,True
who was in dont worry be happy video,Bill Irwin,"[""Bill Irwin"", ""Robin Williams"", ""McFerrin""]","The ""Don't Worry Be Happy"" video features Bobby McFerrin as the only actor.",True
where do the florida marlins have spring training,Roger Dean Stadium,"[""Roger Dean Stadium""]","The Florida Marlins have spring training at Roger Dean Stadium in Jupiter, Florida.",True
who starred in the pirates of the caribbean,Johnny Depp,"[""Johnny Depp"", ""Orlando Bloom"", ""Geoffrey Rush"", ""Kevin McNally"", ""Jonathan Pryce"", ""Jack Davenport"", ""Keira Knightley""]",Orlando Bloom starred in the Pirates of the Caribbean series.,True
book series about the end of the world,Left Behind,"[""Left Behind""]",The Left Behind series by Tim LaHaye and Jerry B. Jenkins is a book series about the end of the world.,True
what written material is included in the talmud,the Mishnah,"[""the Mishnah"", ""the Gemara""]","The written material included in the Talmud is the Mishnah and the Gemara. The Mishnah is the main text, which is a legal code, and the Gemara is the analysis and commentary to that code.",True
list of local government area in benue state,Guma,"[""Guma"", ""Ogbadibo"", ""Gwer East"", ""Gboko"", ""Gwer West"", ""Apa"", ""Ukum"", ""Okpokwu"", ""Ohimini"", ""Agatu"", ""Kwande"", ""Makurdi"", ""Vandeikya"", ""Otukpo"", ""Obi"", ""Oju"", ""Ado"", ""Konshisha"", ""Logo"", ""Tarka"", ""Ushongo"", ""Katsina-Ala"", ""Buruku""]","The local government areas in Benue State are:

1. Ado
2. Agatu
3. Akwanga
4. Gboko
5. Guma
6. Katsina-Ala
7. Kwande
8. Logo
9. Makurdi
10. Obi
11. Okpokwu
12. Otukpo
13. Tarka
14. Tiv
15. Ushongo
16. Vandeikya
17. Wase
18. Wukari
19. Yala
20. Zaki",True
when did the cubs won a world series,1908,"[""1908"", ""1907"", ""2016""]",The Chicago Cubs won their first World Series since 1908 in 2016.,True
who has more super bowl wins nfc or afc,NFC,"[""NFC"", ""NFC/NFL""]",The NFC has more Super Bowl wins than the AFC.,True
hazels boyfriend in the fault in our stars,Augustus Waters,"[""Augustus Waters""]",Hazel's boyfriend in The Fault in Our Stars is Augustus Waters.,True
authorities involved in formulating accounting standard in india,government department,"[""government department"", ""FICCI"", ""other professional bodies"", ""ASSOCHAM"", ""CII"", ""Accounting Standards Board"", ""ICAI"", ""academicians""]","The authorities involved in formulating accounting standards in India are the Institute of Chartered Accountants of India (ICAI) and the Institute of Cost Accountants of India (ICAI). ICAI is the sole licensing cum regulating body of the financial audit and accountancy profession in India and is responsible for setting the accounting standards to be followed by companies in India. ICAI also sets the standards on auditing (SAS) to be followed in the audit of financial statements in India and issues other technical standards like standards on internal audit (SIA), corporate affairs standards (CAS) etc. to be followed by practicing chartered accountants. ICAI works closely with the government of",True
who are the cast members of ncis new orleans,Zoe McLellan,"[""Zoe McLellan"", ""Lucas Black"", ""Daryl \""Chill\"" Mitchell"", ""Shalita Grant"", ""Rob Kerkovich"", ""Vanessa Ferlito"", ""Daryl Mitchell"", ""Scott Bakula"", ""CCH Pounder""]","The cast members of Ncis: New Orleans include Scott Bakula, Lucas Black, Zoe McLellan, Rob Kerkovich, and Shalita Grant.",True
who is the current director of the us mint,David J. Ryder,"[""David J. Ryder"", ""David Motl""]",The current director of the United States Mint is David J. Ryder.,True
when did gaurdians of the galaxy 2 come out,2017,"[""2017"", ""May 5, 2017""]","Guardians of the Galaxy Vol. 2 was released on April 28, 2017.",True
who were the original voices of the flintstones,Verna Felton,"[""Verna Felton"", ""Bea Benaderet"", ""Don Messick"", ""Harvey Korman"", ""Alan Reed"", ""Mel Blanc"", ""Jean Vander Pyl"", ""John Stephenson""]","The original voices of the Flintstones were Alan Reed as Fred Flintstone, Jean Vander Pyl as Wilma Flintstone, Bea Benaderet as Betty Rubble, and Mel Blanc as Barney Rubble.",True
a good that can be used in place of another good,A substitute good,"[""A substitute good"", ""substitute good""]",A good that can be used in place of another good is a substitute good.,True
what is the full scientific name for the e. coli bacteria,Escherichia coli,"[""Escherichia coli""]",Escherichia coli,True
who wrote the french declaration of the rights of man and of the citizen,General Lafayette,"[""General Lafayette"", ""Honoré Mirabeau"", ""Lafayette"", ""Thomas Jefferson""]","The French Declaration of the Rights of Man and of the Citizen was written by the Marquis de Lafayette, Thomas Jefferson, and Honoré Mirabeau.",True
what is the name of a camel with 2 humps,Bactrian,"[""Bactrian"", ""the Bactrian""]",A camel with two humps is a Bactrian camel.,True
who built the first temple for god in jerusalem,Solomon,"[""Solomon""]",King Solomon built the first temple for God in Jerusalem.,True
who is the longest serving manager in manchester united history,Sir Alex Ferguson,"[""Sir Alex Ferguson""]","Sir Alex Ferguson is the longest serving manager in Manchester United history, having managed the club for over 26 years.",True
where does the us launch space shuttles from,Florida,"[""Florida""]",The US launches space shuttles from Kennedy Space Center in Florida.,True
how many world series wins does the dodgers have,6,"[""6"", ""six""]",The Dodgers have won 6 World Series titles.,True
who won the womens 2017 ncaa basketball tournament,South Carolina,"[""South Carolina""]",The 2017 NCAA Women's Basketball Tournament was won by the South Carolina Gamecocks.,True
when did david akers kick the 63 yard field goal,"September 9, 2012","[""September 9, 2012""]","David Akers kicked the 63-yard field goal on September 9, 2012.",True
type of disappearing lake found in limestone areas in the west of ireland,turlough,"[""turlough"", ""turlough, or turlach"", ""A turlough, or turlach""]",A turlough is a type of disappearing lake found in limestone areas in the west of Ireland.,True
who sings why does it hurt when i pee,Frank Zappa,"[""Frank Zappa"", ""Frank Zappa's""]","The song ""Why Does It Hurt When I Pee?"" is sung by Frank Zappa.",True
who is the new york state senate majority leader,John J. Flanagan,"[""John J. Flanagan""]",John J. Flanagan is the current New York State Senate Majority Leader.,True
when was the first hunger games book published,"September 14, 2008","[""September 14, 2008"", ""2008""]","The first Hunger Games book was published on September 14, 2008.",True
when did the ottoman empire surrender in ww1,1918,"[""1918"", ""30 October 1918""]","The Ottoman Empire surrendered in World War I on 30 October 1918, when the Ottoman government signed the Armistice of Mudros with the Allies.",True
who won the 2018 women's royal rumble match,Asuka,"[""Asuka""]","As of the 2018 Royal Rumble, Asuka won the 30-women's Royal Rumble match.",True
what is the first book of percy jackson,The Lightning Thief,"[""The Lightning Thief""]","The first book of the Percy Jackson series is ""The Lightning Thief.""",True
where is fulda and what is its significance,"Hesse, Germany","[""Hesse, Germany"", ""on the river Fulda""]","Fulda is a city located in the state of Hesse, Germany. It is known for its old city hall, which was built in the 1850s, and its twinning with the city of Fulda, which is located in the state of Parana, Brazil. The city of Fulda is also home to the Cathedral of Fulda, which was founded in the 8th century by Saint Sturm, a disciple of Saint Boniface. The cathedral is significant as one of the oldest and most important churches in Germany and a symbol of the Christianization of the region. Additionally, Fulda played a key role in the political and military campaigns of Charlemagne and his armies in",True
an influential religion to enter china along the silk route during the han dynasty was,Buddhism,"[""Buddhism""]",Buddhism.,True
the chinese dragons are protectors of how many seas diggy,Four Seas,"[""Four Seas"", ""Four""]","The Chinese dragons are protectors of four seas: the east sea, the south sea, the west sea, and the north sea.",True
who got the most passing yards in the nfl,Peyton Manning,"[""Peyton Manning""]",Peyton Manning got the most passing yards in the NFL.,True
where does the ohio river and the mississippi river meet,"Cairo, Illinois","[""Cairo, Illinois""]","The Ohio River and the Mississippi River meet at Cairo, Illinois.",True
what theater number was the aurora shooting in,9,"[""9"", ""Theater 9""]",The Aurora shooting occurred in theater 9 at the Century 16 multiplex.,True
who defeated the last remaining roman army in europe,Goths,"[""Goths""]",The last remaining Roman army in Europe was defeated by the Visigoths in the Battle of Vouillé in 507 AD.,True
who has hosted the most fifa world cups,Italy,"[""Italy"", ""Germany"", ""France"", ""Brazil"", ""Mexico""]",Brazil has hosted the most FIFA World Cups with five tournaments.,True
delhi is on the banks of which river,Yamuna,"[""Yamuna""]",Delhi is on the banks of the Yamuna River.,True
when did the nfl start playing in london,since 2007,"[""since 2007"", ""October 28, 2007"", ""2007""]","The NFL started playing in London in 2007 with the International Series, holding at least one regular-season game at Wembley Stadium in London every year since then.",True
when did the phantom of the opera open,October 1986:,"[""October 1986:"", ""1986"", ""9 October 1986""]",The Phantom of the Opera opened in 1986.,True
which river separates the bronx in new york city from manhattan island,Harlem River,"[""Harlem River"", ""the Harlem River""]",The Harlem River separates the Bronx from Manhattan Island.,True
who founded amazon where is the headquarters of amazon,"Seattle, Washington","[""Seattle, Washington"", ""based in Seattle, Washington"", ""Jeff Bezos"", ""founded by Jeff Bezos"", ""Seattle, Washington, U.S.""]","Jeff Bezos founded Amazon, and the headquarters of Amazon is in Seattle, Washington.",True
dendrites and cell bodies are components of what type of matter found in the brain,gray,"[""gray"", ""Grey matter""]",Dendrites and cell bodies are components of grey matter found in the brain.,True
which is the ring finger for male in india,the left ring finger,"[""the left ring finger"", ""left ring finger""]","In India, the left hand is considered inauspicious for religious activities, but a ring (not to be called wedding ring) is still worn on the left hand. Men generally wear the rings on the right hand and the women on the left hands. If a wedding ring is worn, it is usually worn on the left ring finger.",True
when was pac man released in the us,"October 26, 1980","[""October 26, 1980"", ""October 1980"", ""in October 1980""]",Pac-Man was released in the US in October 1980.,True
branch of science that deals with the structure of human body parts,Anatomy,"[""Anatomy"", ""Human anatomy"", ""human anatomy""]",Anatomy is the branch of science that deals with the structure of human body parts.,True
who does the voice of mrs. wolowitz on the big bang theory,Carol Ann Susi,"[""Carol Ann Susi""]",Carol Ann Susi voiced the character of Mrs. Wolowitz on The Big Bang Theory.,True
who hung the lanterns in the old north church,Robert Newman,"[""Robert Newman"", ""Captain John Pulling""]","Robert Newman Ruggles and Robert Newman Sheet, descendants of Robert Newman, who as sexton of the old north church in 1775, lit the two lanterns which signaled the movement of british troops.",True
when does the 14th season of grey's anatomy come out,"September 28, 2017","[""September 28, 2017""]","The 14th season of Grey's Anatomy premiered on September 28, 2017, with a two-hour premiere.",True
where does iron ore come from in australia,Western Australia,"[""Western Australia""]","Iron ore in Australia comes from three main sources: pisolite ""channel iron deposit"" ore, metasomatically-altered banded iron formation related ores, and oxidised ferruginous hardcaps such as laterite iron ore deposits. The majority of iron ore production comes from the Pilbara region of Western Australia.",True
when does the next apollo book come out,"May 1, 2018","[""May 1, 2018""]","The next book in the Trials of Apollo series, titled The Burning Maze, is expected to be released on May 1, 2018.",True
when did the book thief movie come out,"November 27, 2013","[""November 27, 2013"", ""2013"", ""November 27, 2013""]","The movie ""The Book Thief"" was released on November 27, 2013.",True
how many seasons of rules of engagement is there,7,"[""7"", ""seven""]",There are 7 seasons of Rules of Engagement.,True
when did athens emerges as wealthiest greek city state,the late 6th century BCE,"[""the late 6th century BCE""]","Athens emerged as the wealthiest Greek city-state around the late 6th century BCE, bolstered by the discovery of several veins of silver in the neighboring mountains, which further added to their wealth. They facilitated an efficient trading system with other Greek city-states, with pots and other forms of cooking utensils being the most quantitatively traded product. Athens began to import grain due to poor soil conditions, but by the mid-4th century BCE, the northern Greek kingdom of Macedon was becoming dominant in Athenian affairs.",True
what is the name of the muslim dress,hijab,"[""hijab""]","The name of the Muslim dress is ""Islamic dress"" or ""Hijab"".",True
