query,correct_answer,correct_answer_aliases,response,is_correct
who has access to the presidential daily briefing,National Security Advisor,"[""National Security Advisor"", ""Secretaries of State"", ""Defense"", ""the President""]","The president's daily brief (PDB) is a top-secret document produced and given each morning to the president of the United States, and is also distributed to a small number of top-level US officials who are approved by the president. The PDB includes highly classified intelligence analysis, information about CIA covert operations, and reports from the most sensitive US sources or those shared by allied intelligence agencies. The director of the Central Intelligence Agency (CIA) produces the PDB. The PDB is seen by the president and those approved by the president. Journalists, correspondents, and others who are part of the White House press corps have offices near the press briefing room, and the press secretary is responsible",True
who plays sheila carter on the bold and the beautiful,Kimberlin Brown,"[""Kimberlin Brown"", ""Michelle Stafford""]",Kimberlin Brown plays Sheila Carter on The Bold and the Beautiful.,True
where was the summer olympics held in 2012,London,"[""London"", ""London, United Kingdom""]","The 2012 Summer Olympics were held in London, United Kingdom.",True
who hit the first home run in the houston astrodome,Mickey Mantle,"[""Mickey Mantle""]","Dick ""Turk"" Farrell hit the first home run in the Houston Astrodome.",False
who sings the theme song for degrassi the next generation,Jakalope,"[""Jakalope"", ""The Degrassi Junior Strings""]",The theme song for Degrassi: The Next Generation is sung by the band Odds.,False
most passing yards by nfl qb in a game,Norm Van Brocklin,"[""Norm Van Brocklin"", ""554""]",Peyton Manning has the most passing yards by an NFL QB in a game with 514 yards against the Houston Texans in week 16 of the 2013 season.,False
who explored waters of cuba the bahamas and hispaniola,Christopher Columbus,"[""Christopher Columbus""]","Christopher Columbus explored the waters of Cuba, the Bahamas, and Hispaniola during his four voyages.",True
where did this case of product tampering occur,the Chicago metropolitan area,"[""the Chicago metropolitan area""]",I don't know.,False
when did linkin park release one more light,"May 19, 2017","[""May 19, 2017""]","Linkin Park released their seventh studio album, ""One More Light,"" on May 19, 2017.",True
what is the setting of the story sorry wrong number,Manhattan,"[""Manhattan""]","Sorry, Wrong Number is set in 1999, but there are no mobile phones and people use more or less antique technology. The protagonist, Corso, has an unlimited budget, but he still travels by commercial air and train and taxi, which seems inconsistent with his status as a mercenary.",False
what is the minimum dollar amount for federal court,"$75,000","[""$75,000""]","The minimum dollar amount for federal court is $75,000.",True
where is thank you for your service based,Kansas,"[""Kansas"", ""Fort Riley, Kansas""]",I don't know.,False
what is the name of the first earthquake early warning system,1991,"[""1991"", ""The Mexican Seismic Alert System""]",The name of the first earthquake early warning system is not specified in the context provided.,False
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,"[""Bartolomeu Dias""]","Vasco da Gama captained the first European ship to sail around the tip of Africa, reaching the southern tip of Africa in 1497 and onwards to India.",False
what caused the breakup of the democratic republican party,the disputed 1824 presidential election,"[""the disputed 1824 presidential election""]","The breakup of the Democratic-Republican Party was caused by a combination of factors, including the decline of the public image of President George W. Bush, the dissatisfaction with his administration's handling of Hurricane Katrina and the war in Iraq, the beginning of the collapse of the United States housing bubble, Bush's legislative defeat regarding social security privatization, and the culture of corruption involving Republican politicians.",False
who plays lefou in beauty and the beast 1991,Jesse Corti,"[""Jesse Corti"", ""Venezuelan voice actor Jesse Corti""]",Lefou is played by actor Kevin Kline in the 1991 Beauty and the Beast film.,False
term limits for house of representatives and senate,Unlimited six-year terms,"[""Unlimited six-year terms"", ""Unlimited two-year terms""]","The United States does not have term limits for the House of Representatives and Senate. Lifetime limits are in place, meaning that once an officeholder has served up to the limit, they may never again run for election to that office.",False
who sang it going to take a miracle,The Royalettes,"[""The Royalettes""]","Deniece Williams sang ""It's Gonna Take a Miracle.""",False
what kind of metric system does the us use,international units,"[""international units"", ""United States customary units""]","The US uses the customary system of measurement, which includes units such as feet, inches, pounds, and gallons, and has not adopted the metric system.",False
when was the last time the ducks won the stanley cup,(2006–07),"[""(2006–07)"", ""2006–07""]",The Anaheim Ducks won the Stanley Cup in the 2006-2007 season.,False
what do mobile numbers start with in the uk,0,"[""0""]",Mobile numbers in the UK start with the digit 3.,False
when did the great plague of london start and end,1665 to 1666,"[""1665 to 1666"", ""1666"", ""1665"", ""from 1665 to 1666""]",The Great Plague of London started in 1665 and ended in 1666.,True
how many paintings of sunflowers did van gogh paint,two,"[""two""]",Vincent van Gogh painted at least 16 paintings of sunflowers.,False
who played the hobbits in the lord of the rings,Dominic Monaghan,"[""Dominic Monaghan"", ""Ian Holm"", ""Sean Astin"", ""Elijah Wood as Frodo Baggins"", ""Billy Boyd"", ""Elijah Wood""]","Elijah Wood and Sean Bean played Frodo Baggins and Bilbo Baggins, respectively, in the Lord of the Rings trilogy.",True
who played daisy duke in the new dukes of hazzard,Jessica Simpson,"[""Jessica Simpson""]","Jessica Simpson played Daisy Duke in the 2005 feature film ""The Dukes of Hazzard.""",True
when did fender start making amps in mexico,1996,"[""1996""]",I don't know.,False
when does the good doctor episode 8 air,"November 20, 2017","[""November 20, 2017""]",I don't know.,False
who has the most sacks in college football,Mike Czerwien,"[""Mike Czerwien""]",Derrick Thomas of Alabama has the most sacks in college football with 52 sacks.,False
what was the name of darth vader star destroyer,Devastator,"[""Devastator"", ""the Devastator""]",The name of Darth Vader's Star Destroyer is not specified in the context provided.,False
when did beds become popular in france and germany,the 12th century,"[""the 12th century""]",I don't know.,False
when did the term sustainability start to be used,1987,"[""1987""]","The term sustainability started to be used in the 1980s in the sense of human sustainability on planet earth, as a part of the concept sustainable development, as defined by the Brundtland Commission of the United Nations on March 20, 1987.",True
how many episodes of season 5 of curse of oak island,18,"[""18""]",I don't know.,False
what year did seven nation army come out,2003,"[""2003"", ""March 2003""]",Seven Nation Army was released in 2003.,True
when did they stop saying mass in latin,from 1967 onwards,"[""from 1967 onwards"", ""1967""]",I don't know.,False
who sang the theme song to that 70s show,Big Star,"[""Big Star"", ""Todd Griffin"", ""Cheap Trick""]",The theme song to That '70s Show was sung by Eric Forman (played by Topher Grace).,False
when did cristiano ronaldo go to manchester united,2003,"[""2003"", ""at age 18 in 2003""]",Cristiano Ronaldo joined Manchester United in 2003.,True
what album is sacrifice by elton john on,Sleeping with the Past.,"[""Sleeping with the Past."", ""Sleeping with the Past""]","""Sacrifice"" by Elton John is on the album ""Reg Strikes Back"" which was released in 1988.",False
where in the bible are the 12 disciples,Acts 1:13,"[""Acts 1:13""]","The 12 disciples are mentioned in all four gospels (Matthew 3:13-17, Mark 3:13-19, Luke 6:12-16, John 1:35-51).",False
who sings the wizards of waverly place theme song,Selena Gomez,"[""Selena Gomez""]",The theme song for Wizards of Waverly Place is performed by the Jonas Brothers.,False
when was the last time nebraska voted democrat,1964,"[""1964""]",I don't know.,False
who has played in the most premier league derbies,Neville Southall,"[""Neville Southall""]",David O'Leary has played in the most Premier League derbies with 35 matches.,False
who plays young voldemort in the half blood prince,Hero Beauregard Fiennes-Tiffin,"[""Hero Beauregard Fiennes-Tiffin""]",Hero Fiennes-Tiffin plays young Voldemort in the Half-Blood Prince.,False
who played mary in christmas with the kranks,Felicity Huffman,"[""Felicity Huffman""]",Mary was played by actress Elisa Donovan in Christmas with the Kranks.,False
what nba player has scored the most 3 pointers,Ray Allen,"[""Ray Allen""]",Stephen Curry has scored the most three-pointers in the NBA with 302.,False
where would a subcutaneous injection be made in the skin,the subcutis,"[""the subcutis""]","A subcutaneous injection would be made in the skin directly below the dermis and epidermis, collectively referred to as the cutis.",False
when does the team find out prentiss is alive,In the season seven premiere,"[""In the season seven premiere"", ""the season seven premiere""]","The team finds out that Prentiss is alive in the season 7 premiere, after she has been stabbed by Ian Doyle and is in the hospital.",False
what are three different types of hotel properties,Bed and breakfast,"[""Bed and breakfast"", ""Hotel barge"", ""Botel""]","Full-service hotels, boutique hotels, and timeshare/destination clubs are three different types of hotel properties.",False
who plays alec ramsay in the black stallion,Kelly Reno,"[""Kelly Reno""]",Kelly Reno plays Alec Ramsey in the Black Stallion.,True
who wrote when a man loves a woman,Calvin Lewis and Andrew Wright,"[""Calvin Lewis and Andrew Wright"", ""Calvin Lewis"", ""Percy Sledge"", ""Andrew Wright""]","The song ""When a Man Loves a Woman"" was written by Calvin Lewis and Andrew Wright.",True
where was the film the remains of the day filmed,Powderham Castle,"[""Powderham Castle"", ""Weston-super-Mare"", ""Dyrham Park"", ""Badminton House"", ""Corsham Court"", ""Limpley Stoke""]","The film The Remains of the Day was filmed in various locations, including England and Ireland. The beach scenes were shot in Ballinesker Beach, Curracloe Strand, and Ballinesker, just east of Curracloe, County Wexford, Ireland. Some shooting was also done in Normandy, France, and in England, such as at a former British Aerospace factory in Hatfield, Hertfordshire, Thame Park, Oxfordshire, and Wiltshire.",False
who is the actor that plays dr. sean murphy,Freddie Highmore,"[""Freddie Highmore""]","Freddie Highmore plays the role of Dr. Shaun Murphy in the TV show ""The Good Doctor"".",True
where does the highway of heroes start and end,Glen Miller Road in Trenton,"[""Glen Miller Road in Trenton""]","The Highway of Heroes is a stretch of highway in Ontario, Canada, that runs from Trenton to Buckhorn. It is named after the procession of military vehicles that travel along it to bring fallen Canadian soldiers home from overseas. The Highway of Heroes is not a fixed route, but rather a term used to describe the stretch of highway where the procession takes place.",False
who plays scrooge mcduck in the new ducktales,David Tennant,"[""David Tennant""]",David Tennant plays Scrooge McDuck in the new Ducktales.,True
who has won the mens singles title in the australian open tennis tournament,Roger Federer,"[""Roger Federer""]",Rafael Nadal has won the men's singles title in the Australian Open tennis tournament.,False
when did canada sign the un declaration of indigenous rights,May 2016,"[""May 2016"", ""12 November 2010""]","Canada signed the United Nations Declaration on the Rights of Indigenous Peoples in September 2016, as announced by Indigenous and Northern Affairs Canada Minister Carolyn Bennett.",False
what was guantanamo bay before it was a prison,Guantanamo Bay Naval Base,"[""Guantanamo Bay Naval Base""]",Guantanamo Bay was a US naval base before it was converted into a prison.,False
who was tammy from basketball wives married to,basketball player Kenny Anderson,"[""basketball player Kenny Anderson"", ""Kenny Anderson""]",I don't know.,False
when does wonder woman come out on blue ray,"September 19, 2017","[""September 19, 2017""]",I don't know.,False
from whose perspective is the story of all quiet on the western front told,Paul Baumer,"[""Paul Baumer""]",The story of All Quiet on the Western Front is told from the perspective of a German soldier during World War I.,False
who wrote ain't living long like this,Rodney Crowell,"[""Rodney Crowell""]","Rodney Crowell wrote ""Ain't Living Long Like This.""",True
who dies in season 6 of once upon a time,Hyde,"[""Hyde"", ""Jekyll""]",I don't know.,False
when was the last time the boston red sox pitched a no-hitter,"May 19, 2008","[""May 19, 2008""]","The last time the Boston Red Sox pitched a no-hitter was on September 1, 2014, when Cole Hamels threw 108 pitches through the first six innings, then Jake Diekman, Ken Giles, and Jonathan Papelbon successively pitched perfect innings to preserve the no-hitter.",False
when did world war 2 end in the pacific,14 and 15 August 1945,"[""14 and 15 August 1945"", ""September 2, 1945""]","World War 2 ended in the Pacific on September 2, 1945, when Japan formally surrendered to the Allies in Tokyo Bay.",True
who won the academy award for best original musical score,Alexandre Desplat,"[""Alexandre Desplat"", ""The Shape of Water""]",I don't know.,False
what is the name of the compound p4010,Phosphorus pentoxide,"[""Phosphorus pentoxide""]",The name of the compound P4O10 is not specified in the given contexts.,False
who sang original i want a hippopotamus for christmas,Gayla Peevey,"[""Gayla Peevey""]","Gayla Peevey sang the original version of ""I Want a Hippopotamus for Christmas.""",True
who sang the american anthem at the super bowl,Pink,"[""Pink""]",Beyoncé Knowles sang the American national anthem at the opening of Super Bowl XLIV in 2013.,False
actress who plays penelope garcia on criminal minds,Kirsten Simone Vangsness,"[""Kirsten Simone Vangsness""]",Kirsten Vangsness plays Penelope Garcia on Criminal Minds and its spin-off Criminal Minds: Suspect Behavior.,False
where does the red badge of courage take place,the field of battle,"[""the field of battle""]",The Red Badge of Courage takes place during the American Civil War.,False
how did long john silver lose his leg in treasure island,in the Royal Navy,"[""in the Royal Navy""]",Long John Silver lost his leg in Treasure Island while serving in the Royal Navy under the command of the immortal Hawke.,True
who missed the plane the day the music died,Tommy Allsup,"[""Tommy Allsup"", ""Waylon Jennings""]","Don McLean's popular 1971 ballad ""American Pie"" was inspired by Buddy Holly's death and the day of the plane crash. The song's lyrics, which call the incident ""the day the music died"", became popularly associated with the crash. The final phrase of the song's lyrics -- ""that'll be the day-ay-ay when I die"" -- seemed eerily prescient after Holly, then only 22, and fellow singers Ritchie Valens and J.P. ""The Big Bopper"" Richardson were killed in a plane crash on February 3, 1959, a tragically iconic event later",False
when does the new season on the 100 come out,"April 24, 2018","[""April 24, 2018""]",The new season of The 100 came out in 2019.,False
who plays reggie the robot in justin's house,Ben Faulks,"[""Ben Faulks""]",I don't know.,False
who does stefan marry in the vampire diaries,Caroline Forbes,"[""Caroline Forbes""]",Elena.,False
when was the movie the wizard of oz made,1939,"[""1939"", ""August 25, 1939""]",The movie The Wizard of Oz was made in 1939.,True
where does arsenic and old lace take place,"Brooklyn, New York","[""Brooklyn, New York""]",Arsenic and Old Lace takes place in the United States.,False
what college does everyone in gossip girl go to,New York University,"[""New York University"", ""Columbia University""]",Everyone in Gossip Girl goes to New York University (NYU).,True
who sings i want to be a rockstar,Nickelback,"[""Nickelback"", ""Canadian rock band Nickelback"", ""Billy Gibbons of ZZ Top""]",I don't know.,False
how tall is the actor who plays hagrid in harry potter,6ft 1in,"[""6ft 1in""]","Robbie Coltrane, the actor who plays Hagrid in the Harry Potter films, is 6' 1"" (1.85 m) tall.",False
who destroyed the first temple and exiled the two tribes of judah to babylon,Nebuchadnezzar,"[""Nebuchadnezzar""]",Nebuchadnezzar II destroyed the first temple and exiled the two tribes of Judah to Babylon.,True
when does season 5 of the blacklist resume,"January 31, 2018","[""January 31, 2018""]",I don't know.,False
when does season 18 of law and order svu start,"September 21, 2016","[""September 21, 2016""]",I don't know.,False
who won the icc under 19 world cup 2018,West Indies,"[""West Indies"", ""India""]",India won the ICC Under 19 World Cup in 2018.,True
who plays kevins shrink on kevin probably saves the world,Richard Masur,"[""Richard Masur""]",I don't know.,False
where is gall bladder situated in human body,beneath the liver,"[""beneath the liver""]","The gallbladder is situated just beneath the liver, with the gallbladder body resting in a small depression.",True
when were the words under god added to the pledge,on Flag Day in 1954,"[""on Flag Day in 1954"", ""1954"", ""Flag Day in 1954""]","The words ""under god"" were added to the pledge in 1953, as suggested by Representative Louis C. Rabaut (D-Mich.) and sponsored by Representative Louis C. Rabaut (D-Mich.).",False
in the song i drive your truck who is he talking about,his brother,"[""his brother""]","In the song ""I Drive Your Truck,"" the narrator is talking about Bessie, a local girl he has a history with in Lake Charles, Louisiana.",False
where does the spinal cord become cauda equina,L1 or L2,"[""L1 or L2"", ""the conus medullaris""]",The spinal cord becomes the cauda equina at the level of the conus medullaris.,True
ray charles hit the road jack album name,Ray Charles Greatest Hits,"[""Ray Charles Greatest Hits""]",Ray Charles hit the road jack album.,False
the group that officially elects the president of the united states is called,the U.S. Electoral College,"[""the U.S. Electoral College"", ""U.S. Electoral College""]",The group that officially elects the president of the United States is called the electoral college.,False
when do luke and lorelai get back together,Say Goodbye to Daisy Miller,"[""Say Goodbye to Daisy Miller""]","Luke and Lorelai get back together in the sixth season of the show, after they have been apart for several months due to conflicts and misunderstandings.",False
when does the 2017 college football season end,"December 9, 2017","[""December 9, 2017""]","The 2017 college football season ended with the 2018 College Football Playoff National Championship on January 8, 2018.",False
on which river did the exploration of the louisiana purchase begin,Missouri River,"[""Missouri River"", ""the Missouri River""]",The exploration of the Louisiana Purchase began on the Mississippi River.,False
who sang the song a white sports coat and a pink carnation,Marty Robbins,"[""Marty Robbins""]","Marty Robbins sang the song ""A White Sport Coat and a Pink Carnation.""",True
when did the nba create the 3 point line,the 1979–80 season,"[""the 1979–80 season"", ""1979–80 season""]","The NBA created the three-point line in the 1979-80 season, after testing it in the previous pre-season.",False
what are the two extracellular fluid compartments in the body,transcellular,"[""transcellular"", ""intravascular"", ""interstitial""]",The two extracellular fluid compartments in the body are the interstitial fluid and the plasma.,True
who has won the most f1 grand prix,Michael Schumacher,"[""Michael Schumacher""]",Michael Schumacher has won the most F1 grand prix with 91 wins.,True
what was tom hanks character name in castaway,Chuck Noland,"[""Chuck Noland""]",Tom Hanks' character in Cast Away is named Chuck Noland.,True
where does the red river start and end in louisiana,the Texas Panhandle,"[""the Texas Panhandle""]","The Red River starts in the Texas Panhandle and flows through multiple states, including Texas, Oklahoma, Arkansas, and Louisiana, before linking into the Mississippi River. It does not end in Louisiana.",True
when did the dallas cowboys win their last playoff game,2014,"[""2014"", ""2016""]","The Dallas Cowboys won their last playoff game on January 15, 2017, when they defeated the Green Bay Packers 34-31 in the NFC Divisional Round.",False
who played john coffey in the movie the green mile,Michael Clarke Duncan,"[""Michael Clarke Duncan""]",John Coffey was played by Michael Clarke Duncan in the movie The Green Mile.,True
who bowled the last over of the 2007 world twenty20 that india won,Pakistan,"[""Pakistan""]",Irfan Pathan bowled the last over of the 2007 World Twenty20 that India won.,False
who has been ranked no. 1 in the latest football rankings announced by fifa,Germany,"[""Germany""]",Germany is currently ranked no. 1 in the latest FIFA rankings.,True
what breed of cat has spots and stripes,tabby,"[""tabby""]",The breed of cat that has spots and stripes is the Mackerel Tabby.,True
who is the first prime minister of france,Michel Debré,"[""Michel Debré""]",Charles de Gaulle was the first prime minister of France.,False
if a piece of music is perceived to have changed key then we say the piece has,transposed,"[""transposed"", ""transposition""]","If a piece of music is perceived to have changed key, we say the piece has modulated.",False
who played junior on in the heat of the night,Christian LeBlanc,"[""Christian LeBlanc""]",Carl Weathers played Junior on In the Heat of the Night.,False
input that tells the computer which task to execute is,source code,"[""source code"", ""A computer program""]",The input that tells the computer which task to execute is the program and its inputs.,False
what is the meaning of auv in cars,action utility vehicles,"[""action utility vehicles""]",I don't know.,False
who plays nathan's mother on general hospital,Donna Mills,"[""Donna Mills""]",I don't know.,False
who plays nikko in the wizard of oz,Patrick Walshe,"[""Patrick Walshe""]",Walshe plays the role of Nikko in the Wizard of Oz.,False
when did ohio state join the big 10,1912,"[""1912""]",Ohio State joined the Big Ten in 1917.,False
who plays red on orange is new black,"""Kate"" Mulgrew","[""\""Kate\"" Mulgrew""]",Taylor Schilling plays the character of Piper Chapman on Orange is the New Black.,False
who was selected for the 2018 football hall of fame,Ray Lewis,"[""Ray Lewis"", ""Brian Urlacher"", ""Jerry Kramer"", ""Robert Brazile"", ""Bobby Beathard"", ""Brian Dawkins"", ""Randy Moss"", ""Terrell Owens""]",Jerry Kramer was selected for the 2018 Pro Football Hall of Fame.,True
where did the last name edwards come from,England,"[""England"", ""Scotland"", ""Wales""]","The last name Edwards is a patronymic surname that means ""son of Edward."" It is a common surname in England and Wales and is ranked among the top 50 surnames in both countries. It is also found in the United States, where it is ranked as the 49th most common surname, according to a survey conducted in 1990.",True
who carried the usa flag in opening ceremony,Erin Hamlin,"[""Erin Hamlin""]",Todd Lodwick carried the USA flag in the opening ceremony.,False
who sings you are a magnet and i am steel,Walter Egan,"[""Walter Egan""]","The lyrics ""you are a magnet and I am steel"" come from the song ""Magnet and Steel"" by Walter Egan, released in 1978.",True
who led the soldiers in ending the raid on the harper's ferry arsenal,Colonel Robert E. Lee,"[""Colonel Robert E. Lee"", ""First Lieutenant Israel Greene"", ""Brevet Colonel Robert E. Lee""]",I don't know.,False
who become ceo of wipro company in 2016,Abid Ali Neemuchwala,"[""Abid Ali Neemuchwala""]",Abid Ali Neemuchwala became the CEO of Wipro in 2016.,True
when did korea separate into north and south,1945,"[""1945"", ""17 August 1945""]",After 1945.,True
who sang how long has this been going on song,Ace,"[""Ace""]","Puth sang the song ""how long has this been going on?""",False
what is the 180 degree line of longitude called,180th meridian or antimeridian,"[""180th meridian or antimeridian"", ""180th meridian"", ""antimeridian""]",The 180 degree line of longitude is called the International Date Line.,False
who played mrs. trumbull on i love lucy,Mary Elizabeth Patterson,"[""Mary Elizabeth Patterson""]",Gale Gordon played Mrs. Matilda Trumbull on I Love Lucy.,False
who is credited with creating the gothic art movement,Abbot Suger,"[""Abbot Suger""]","The Gothic art movement was not created by a single person, but rather it developed out of the Romanesque art style in the 12th century in northern France, led by the concurrent development of Gothic architecture. It spread to all of Western Europe and much of Southern and Central Europe, and was influenced by various factors such as the Gothic architecture, the Gothic style of sculpture, and the Gothic style of illumination. The Gothic art movement is characterized by its use of pointed arches, ribbed vaults, and stained glass, and it continued to evolve until the late 15th century, when it merged into the Renaissance art movement.",False
when was the first commercial cell phone released,1983,"[""1983"", ""1973""]",The first commercial cell phone was released in 1983 by Motorola with the Dynatac 8000x.,True
the probability of making a type i error when retaining ho at the .05 level of significance is,5%,"[""5%""]",The probability of making a type I error (α) when retaining H0 at the 0.05 level of significance is 0.05.,False
who is the girl in green day 21 guns,Lisa Stelly,"[""Lisa Stelly""]",I don't know.,False
what is the width of a cricket bat,no more than 4.25 inches,"[""no more than 4.25 inches""]","The width of a cricket bat is typically between 4.25 inches (108 mm) and 4.25 inches (108 mm), as per the rules of cricket.",False
where is south pole located on a map,on the continent of Antarctica,"[""on the continent of Antarctica""]",The geographic south pole is located on the continent of Antarctica.,True
where is final four being held this year,the Alamodome,"[""the Alamodome""]","The Final Four is being held in Minneapolis, Minnesota.",False
who plays emma in air bud world pup,Brittany Paige Bouck,"[""Brittany Paige Bouck""]",I don't know.,False
where was the hindenburg scheduled to fly and how many passengers were on it,36 passengers,"[""36 passengers""]","The Hindenburg was scheduled to fly from Lakehurst, New Jersey to Frankfurt, Germany and back, with stops in Newark, New Jersey and other cities in the United States and Canada. It was carrying 36 passengers and 61 crew members on its final flight.",True
who has won the most united states championships,Lex Luger,"[""Lex Luger"", ""Ric Flair""]",Don Lash has won the most United States championships with seven consecutive national championships from 1934 to 1940.,False
who sang the original scooby doo theme song,Larry Marks,"[""Larry Marks""]","The original Scooby-Doo theme song was performed by Don Messick, who provided the voice of Scooby-Doo in every Scooby-Doo production from 1969 until 1994's Scooby-Doo in Arabian Nights.",False
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"[""Cathy Dennis and Rob Davis"", ""Rob Davis"", ""Cathy Dennis""]","Cathy Dennis and Rob Davis wrote the lyrics for ""Can't Get You Out of My Head.""",True
who did michigan state play in the rose bowl,Stanford Cardinal,"[""Stanford Cardinal""]",Michigan State did not play in the Rose Bowl.,False
when is season 2 of jessica jones being released,"March 8, 2018","[""March 8, 2018""]","March 8, 2018.",True
the lowest temperature at which a lubricant will flow is called the,pour point,"[""pour point""]",Pour point.,True
when does the new season of are you the one come on,2018,"[""2018""]",I don't know.,False
the era of the great mughals began with the accession of,Akbar the Great,"[""Akbar the Great"", ""Babur""]",The era of the great Mughals began with the accession of Akbar the Great in 1556.,True
what is the democracy of the united states,federal republic,"[""federal republic""]","The democracy of the United States, as analyzed by Alexis de Tocqueville in ""Democracy in America,"" is a republican representative democracy that has succeeded in the U.S. while failing in many other places. Tocqueville applied the functional aspects of democracy in the U.S. to the failings of democracy in his native France. The U.S. Constitution, according to Dahl, is less democratic than it ought to be due to the ""profound ignorance"" of its authors about the future. Tocqueville speculated on the future of democracy in the U.S., discussing possible threats and dangers, including the risk of democracy",False
what is the ultimate objective of financial management,Profit maximization,"[""Profit maximization""]","The ultimate objective of financial management is to efficiently and effectively manage money (funds) in such a manner as to accomplish the objectives of the organization. It is the specialized function directly associated with the top management. The significance of this function is not seen in the 'line' but also in the capacity of the 'staff' in overall of a company. The objectives of financial management are different from those of financial accounting, which aims to produce a coherent set of standards for consistency and comparability purposes in providing external parties in the capital markets, a level playing field for evaluating a company's individual performance as well as across other competing businesses.",False
who did the central powers defeat on the eastern front before concentrating back on france,the Russian army,"[""the Russian army""]","The Central Powers, led by Germany, defeated the Russian Empire on the Eastern Front before concentrating back on France.",False
