query,correct_answer,correct_answer_aliases,response,is_correct
who wrote ain't living long like this,Rodney Crowell,"[""Rodney Crowell""]","Rodney Crowell wrote ""Ain't Living Long Like This.""",True
when did world war 2 end in the pacific,14 and 15 August 1945,"[""14 and 15 August 1945"", ""September 2, 1945""]","World War 2 ended in the Pacific on September 2, 1945, when Japan formally surrendered to the Allies in Tokyo Bay.",True
who sang original i want a hippopotamus for christmas,Gayla Peevey,"[""Gayla Peevey""]","Gayla Peevey sang the original version of ""I Want a Hippopotamus for Christmas.""",True
how did long john silver lose his leg in treasure island,in the Royal Navy,"[""in the Royal Navy""]",Long John Silver lost his leg in Treasure Island while serving in the Royal Navy under the command of the immortal Hawke.,True
when was the movie the wizard of oz made,1939,"[""1939"", ""August 25, 1939""]",The movie The Wizard of Oz was made in 1939.,True
what college does everyone in gossip girl go to,New York University,"[""New York University"", ""Columbia University""]",Everyone in Gossip Girl goes to New York University (NYU).,True
who destroyed the first temple and exiled the two tribes of judah to babylon,Nebuchadnezzar,"[""Nebuchadnezzar""]",Nebuchadnezzar II destroyed the first temple and exiled the two tribes of Judah to Babylon.,True
who won the icc under 19 world cup 2018,West Indies,"[""West Indies"", ""India""]",India won the ICC Under 19 World Cup in 2018.,True
where is gall bladder situated in human body,beneath the liver,"[""beneath the liver""]","The gallbladder is situated just beneath the liver, with the gallbladder body resting in a small depression.",True
where does the spinal cord become cauda equina,L1 or L2,"[""L1 or L2"", ""the conus medullaris""]",The spinal cord becomes the cauda equina at the level of the conus medullaris.,True
who sang the song a white sports coat and a pink carnation,Marty Robbins,"[""Marty Robbins""]","Marty Robbins sang the song ""A White Sport Coat and a Pink Carnation.""",True
what are the two extracellular fluid compartments in the body,transcellular,"[""transcellular"", ""intravascular"", ""interstitial""]",The two extracellular fluid compartments in the body are the interstitial fluid and the plasma.,True
who has won the most f1 grand prix,Michael Schumacher,"[""Michael Schumacher""]",Michael Schumacher has won the most F1 grand prix with 91 wins.,True
what was tom hanks character name in castaway,Chuck Noland,"[""Chuck Noland""]",Tom Hanks' character in Cast Away is named Chuck Noland.,True
where does the red river start and end in louisiana,the Texas Panhandle,"[""the Texas Panhandle""]","The Red River starts in the Texas Panhandle and flows through multiple states, including Texas, Oklahoma, Arkansas, and Louisiana, before linking into the Mississippi River. It does not end in Louisiana.",True
who played john coffey in the movie the green mile,Michael Clarke Duncan,"[""Michael Clarke Duncan""]",John Coffey was played by Michael Clarke Duncan in the movie The Green Mile.,True
who has been ranked no. 1 in the latest football rankings announced by fifa,Germany,"[""Germany""]",Germany is currently ranked no. 1 in the latest FIFA rankings.,True
what breed of cat has spots and stripes,tabby,"[""tabby""]",The breed of cat that has spots and stripes is the Mackerel Tabby.,True
who was selected for the 2018 football hall of fame,Ray Lewis,"[""Ray Lewis"", ""Brian Urlacher"", ""Jerry Kramer"", ""Robert Brazile"", ""Bobby Beathard"", ""Brian Dawkins"", ""Randy Moss"", ""Terrell Owens""]",Jerry Kramer was selected for the 2018 Pro Football Hall of Fame.,True
where did the last name edwards come from,England,"[""England"", ""Scotland"", ""Wales""]","The last name Edwards is a patronymic surname that means ""son of Edward."" It is a common surname in England and Wales and is ranked among the top 50 surnames in both countries. It is also found in the United States, where it is ranked as the 49th most common surname, according to a survey conducted in 1990.",True
who sings you are a magnet and i am steel,Walter Egan,"[""Walter Egan""]","The lyrics ""you are a magnet and I am steel"" come from the song ""Magnet and Steel"" by Walter Egan, released in 1978.",True
who become ceo of wipro company in 2016,Abid Ali Neemuchwala,"[""Abid Ali Neemuchwala""]",Abid Ali Neemuchwala became the CEO of Wipro in 2016.,True
when did korea separate into north and south,1945,"[""1945"", ""17 August 1945""]",After 1945.,True
when was the first commercial cell phone released,1983,"[""1983"", ""1973""]",The first commercial cell phone was released in 1983 by Motorola with the Dynatac 8000x.,True
where is south pole located on a map,on the continent of Antarctica,"[""on the continent of Antarctica""]",The geographic south pole is located on the continent of Antarctica.,True
where was the hindenburg scheduled to fly and how many passengers were on it,36 passengers,"[""36 passengers""]","The Hindenburg was scheduled to fly from Lakehurst, New Jersey to Frankfurt, Germany and back, with stops in Newark, New Jersey and other cities in the United States and Canada. It was carrying 36 passengers and 61 crew members on its final flight.",True
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"[""Cathy Dennis and Rob Davis"", ""Rob Davis"", ""Cathy Dennis""]","Cathy Dennis and Rob Davis wrote the lyrics for ""Can't Get You Out of My Head.""",True
when is season 2 of jessica jones being released,"March 8, 2018","[""March 8, 2018""]","March 8, 2018.",True
the lowest temperature at which a lubricant will flow is called the,pour point,"[""pour point""]",Pour point.,True
the era of the great mughals began with the accession of,Akbar the Great,"[""Akbar the Great"", ""Babur""]",The era of the great Mughals began with the accession of Akbar the Great in 1556.,True
how did the dominican republic get its name,"patron saint, Saint Dominic","[""patron saint, Saint Dominic""]","The Dominican Republic was named after its capital city, Santo Domingo, which was named after its patron saint, Saint Dominic. It was commonly known as such in English until the early 20th century. The country's residents are called dominicanos, which is the adjective form of ""domingo,"" and the revolutionaries named their newly independent country ""la república dominicana.""",True
state the process that divides one nucleus into two genetically identical nuclei,mitosis,"[""mitosis""]","The process that divides one nucleus into two genetically identical nuclei is called mitosis. During mitosis, the chromosomes are replicated and then separated, with each daughter cell receiving one set of chromosomes. The nuclear envelope breaks down, and the chromosomes are pulled to opposite poles of the cell by the mitotic spindle. The cell then divides into two genetically identical daughter cells.",True
who present the central budget in lok sabha,the Finance Minister of India,"[""the Finance Minister of India""]",The Finance Minister of India presents the central budget in the Lok Sabha.,True
when did sussex split into east and west,1832,"[""1832"", ""1889""]","Sussex split into east and west in 1889, based on the boundaries of the two archdeaconries of Chichester and Lewes.",True
what dynasty completed the great wall of china,Qin,"[""Qin"", ""Ming dynasty"", ""Qing""]",The Great Wall of China was built by the Ming dynasty (1368-1644).,True
who invented the cornell method of note taking,Walter Pauk,"[""Walter Pauk""]",Walter Pauk invented the Cornell method of note taking.,True
character in macbeth who is murdered and appears as a ghost,Lord Banquo,"[""Lord Banquo"", ""Banquo""]",Banquo,True
who carried florida by 537 votes in 2000,George W. Bush,"[""George W. Bush"", ""Bush""]",George W. Bush carried Florida by 537 votes in the 2000 presidential election.,True
what language is the olympic anthem sang in,Greek,"[""Greek""]","The Olympic anthem is usually sung in the official language(s) of the host country, or in English or Greek if the host country does not have an official language. However, it can also be sung in other languages depending on the circumstances.",True
how many times has lake placid hosted the winter olympics,twice,"[""twice""]","Lake Placid has hosted the Winter Olympics twice, in 1932 and 1980.",True
what parts make up the peripheral nervous system,autonomic nervous system,"[""autonomic nervous system"", ""somatic nervous system""]","The peripheral nervous system (PNS) is made up of nerves, which are bundles of fibers (axons of neurons) that emanate from the brain and spinal cord and branch repeatedly to innervate every part of the body. The PNS is divided into somatic and visceral parts. The somatic part consists of nerves that innervate the skin, joints, and muscles, while the visceral part, also known as the autonomic nervous system, contains neurons that innervate internal organs, blood vessels, and glands. The autonomic nervous system is further divided into the sympathetic nervous system and the parasympathetic",True
who appoints the chair of the federal reserve system,President of the United States,"[""President of the United States""]",The president of the United States appoints the chair of the Federal Reserve System.,True
is jaffa cakes a biscuit or a cake,Cake,"[""Cake"", ""biscuit-sized cakes"", ""cakes""]","Jaffa cakes are considered a cake in the United Kingdom, as they are usually eaten as a dessert and are assessed based on their size, shape, and the fact that they are often eaten in place of biscuits.",True
what kind of sentence contains an independent clause and a dependent clause,A complex sentence,"[""A complex sentence"", ""complex sentence""]",A sentence that contains an independent clause and a dependent clause is called a complex sentence.,True
when was the first ford f 150 made,1975,"[""1975""]",The first Ford F-150 was made in 1975.,True
who was the killer in the movie i know what you did last summer,Ben Willis,"[""Ben Willis""]","The killer in the movie ""I Know What You Did Last Summer"" is Ben Willis, played by Brian Matthews.",True
when was the first time lebron went to the finals,2007,"[""2007""]","LeBron James first appeared in the NBA Finals in 2007, when he was a member of the Cleveland Cavaliers.",True
who's playing in the sec championship 2017,Auburn Tigers,"[""Auburn Tigers"", ""Georgia Bulldogs""]",The 2017 SEC Championship Game was played between the Eastern Division champion Georgia Bulldogs and the Western Division co-champion Auburn Tigers.,True
what is the meaning of the name habib,"""beloved""","[""\""beloved\"""", ""beloved""]","The name Habib is an Arabic masculine given name and occasional surname, meaning ""beloved"". It is popular throughout the Muslim world and is sometimes used as an honorific for Muslim scholars of Sayyid families. It is not confined to Muslims and can be found in Christian individuals as well.",True
who inaugurated 'world teachers' day',UNESCO,"[""UNESCO"", ""ILO""]",UNESCO inaugurated World Teachers' Day on October 5th.,True
what is the population of st petersburg fl,"260,999","[""260,999"", ""257,083""]","The population of St. Petersburg, Florida is 257,083 according to the 2015 census estimate.",True
who starred in the film walk the line,Ginnifer Goodwin,"[""Ginnifer Goodwin"", ""Reese Witherspoon"", ""Dallas Roberts"", ""Joaquin Phoenix"", ""Robert Patrick""]",Joaquin Phoenix starred in the film Walk the Line.,True
who monitor the recovery of the location during a disaster,management team,"[""management team""]","The management team monitors the recovery of the location during a disaster. They coordinate the recovery process, assess the disaster, activate the recovery plan, and oversee the execution of the plan. They also document and monitor the recovery process and make decisions on the course of action.",True
when is the last time the philadelphia won the superbowl,"Super Bowl LII,","[""Super Bowl LII,"", ""2017""]",The last time the Philadelphia Eagles won the Super Bowl was in 2017.,True
is there a name for the at symbol,commercial at,"[""commercial at"", ""at symbol"", ""at sign""]","Yes, the at symbol is commonly referred to as the ""at sign"" or the ""commercial at"".",True
who said beware of the ides of march,the soothsayer,"[""the soothsayer"", ""a seer"", ""a haruspex named Spurinna""]","The famous quote ""Beware the ides of March"" is from the play Julius Caesar by William Shakespeare. The line is spoken by the Soothsayer to Julius Caesar, warning him of danger on the Ides of March.",True
who sang the theme song for laverne and shirley,Cyndi Grecco,"[""Cyndi Grecco""]","Cyndi Grecco sang the theme song for Laverne & Shirley called ""Making Our Dreams Come True"".",True
what is the wave length of x rays,from 0.01 to 10 nanometers,"[""from 0.01 to 10 nanometers""]","The wavelength of x-rays depends on their energy, with higher energy x-rays having shorter wavelengths. According to the context provided, x-rays typically have wavelengths ranging from 0.01 to 10 nanometers, corresponding to frequencies in the range 30 petahertz to 30 exahertz (3×1016 hz to 3×1019 hz) and energies in the range 100 ev to 100 keV.",True
who wrote the song rainy days and mondays,Paul Williams,"[""Paul Williams"", ""Roger Nichols"", ""Roger Nichols and Paul Williams""]","Paul Williams wrote the song ""Rainy Days and Mondays.""",True
star cast of ab tumhare hawale watan sathiyon,Bobby Deol,"[""Bobby Deol"", ""Akshay Kumar"", ""Divya Khosla Kumar"", ""Nagma"", ""Amitabh Bachchan"", ""Sandali Sinha""]","The star cast of ""Ab Tumhare Hawale Watan Saathiyo"" includes Amitabh Bachchan, Akshay Kumar, Bobby Deol, Divya Khosla Kumar, Sandali Sinha, Nagma, Mahira Khan, Shabbir Ahluwalia, Sriti Jha, Madhurima Tuli, Leena Jumani, Faisal Rashid, Supriya Shukla, Anurag Sharma, Neel Motawani, Barun Sobti, Sanaya Irani, Daljeet Kaur Bhanot, Deepali Pansare, Akshay Dohra, Jayshree T., Tuhina",True
where do the maple leafs play hockey in toronto,Air Canada Centre,"[""Air Canada Centre"", ""the Air Canada Centre""]",The Maple Leafs play hockey at the Air Canada Centre in downtown Toronto.,True
the most common form of megalithic architecture in europe is,the portal tomb,"[""the portal tomb"", ""portal tomb""]",Portal tomb.,True
who sings i wanna rock'n'roll all night,Kiss,"[""Kiss""]","Axl Rose of Guns N' Roses sings ""I Wanna Rock"" and ""Rock and Roll All Nite"" by Kiss.",True
is greenland part of europe or north america,North America,"[""North America""]","Greenland is generally considered to be part of North America, although it is located near Europe and is closest to the continent of Iceland. However, it is also sometimes considered part of Europe due to its cultural and sociopolitical ties to the continent.",True
what is the title of the person who runs the house of representatives,the Speaker of the House,"[""the Speaker of the House"", ""Speaker of the House""]",Speaker of the House,True
where does creatine come from in the body,kidneys,"[""kidneys"", ""liver"", ""the liver and kidneys"", ""arginine"", ""glycine""]","Creatine primarily comes from the body through the synthesis in the liver and kidneys, with some also obtained through the diet. It is then transported to the muscles via the blood.",True
where does the name de la rosa come from,Spanish,"[""Spanish""]","The name ""de la rosa"" comes from the Spanish language, which means ""of the rose."" It is a surname that may refer to the rose flower or the Spanish colonizers who settled in the area and brought their Catholicism.",True
who gets the golden boot if its a tie,shared,"[""shared""]","If there is a tie for the Golden Boot in the Premier League, the award is shared among the tied players.",True
rain sleet or snow that contains a high concentration of acids is called,Acid rain,"[""Acid rain"", ""\""Acid rain\""""]",acid rain.,True
what are the monomer building blocks of dna and rna,Nucleotides,"[""Nucleotides""]",The monomer building blocks of DNA and RNA are nucleotides.,True
who discovered the atom and in what year,early 1800s,"[""early 1800s"", ""John Dalton""]","The question is unclear. The discovery of the atom is a complex and multifaceted topic that spans centuries and involves many scientists and thinkers. The concept of the atom was first proposed by ancient philosophers such as Democritus, but it was not until the 19th century that the modern understanding of the atom was established through the work of scientists such as John Dalton, J.J. Thomson, Ernest Rutherford, and Niels Bohr. The question should be clarified to specify which aspect of the discovery of the atom is being asked about.",True
when was the first mad max movie release,12 April 1979,"[""12 April 1979"", ""April 1979"", ""1979""]",The first Mad Max movie was released in 1979.,True
where did they get the vibranium to make captain americas shield,Wakanda,"[""Wakanda""]",They got the vibranium to make Captain America's shield from the main vibranium deposit in Wakanda.,True
when did the ship hector arrived in pictou,1773,"[""1773""]","The ship Hector arrived in Pictou on September 15, 1773.",True
who was the ruler of england in 1616,James I,"[""James I""]",James I was the ruler of England in 1616.,True
who played truman capote in in cold blood,Philip Seymour Hoffman,"[""Philip Seymour Hoffman""]",Philip Seymour Hoffman played Truman Capote in the film Capote.,True
the joint between a coxal bone of the pelvis and the sacrum,sacroiliac joint,"[""sacroiliac joint""]",The joint between a coxal bone of the pelvis and the sacrum is called the sacroiliac joint.,True
